# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	51508b97	d9b0afe3	58084d1e
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	4836	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	4836
SN	is sorted:	1
SN	1st fragments:	4836
SN	last fragments:	0
SN	reads mapped:	4836
SN	reads mapped and paired:	4836	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	4836	# proper-pair bit set
SN	reads paired:	4836	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	18
SN	total length:	725400	# ignores clipping
SN	total first fragment length:	725400	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	725400	# ignores clipping
SN	bases mapped (cigar):	725467	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1624	# from NM fields
SN	error rate:	2.238558e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	42.2
SN	insert size average:	912.5
SN	insert size standard deviation:	8.3
SN	inward oriented pairs:	2408
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	2	1	0	0	3	1	0	4	11	4	22	0	34	44	31	183	885	3492	114	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	2	5	2	7	1	7	11	2	11	11	11	24	28	42	17	61	114	367	1344	2410	352	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	2	3	0	5	2	3	3	8	8	4	6	9	8	13	18	47	23	63	149	402	1413	2327	315	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	0	1	0	1	0	1	4	6	4	3	5	6	10	11	28	19	30	31	61	133	375	1477	2316	306	0	0	0
FFQ	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	4	1	3	1	7	4	3	4	3	7	14	7	8	13	20	11	32	41	59	19	92	157	415	1393	2221	292	0	0	0
FFQ	6	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	4	2	1	1	2	5	3	2	5	4	4	7	7	6	4	10	7	24	10	18	32	52	37	86	138	418	1415	2220	307	0	0	0
FFQ	7	0	0	0	1	1	1	0	2	1	1	1	0	2	2	2	3	0	4	1	2	8	3	8	1	5	7	7	12	19	7	13	16	24	8	34	41	62	19	105	164	429	1254	2280	286	0	0	0
FFQ	8	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	6	1	1	4	1	6	2	4	5	7	6	8	9	4	11	11	9	11	5	24	37	41	30	90	116	440	1402	2260	281	0	0	0
FFQ	9	0	0	0	0	0	1	1	1	3	0	1	1	0	2	0	0	3	1	5	6	1	7	9	10	14	12	2	17	10	12	23	18	44	22	34	38	32	68	97	124	184	106	684	1371	1818	54	0
FFQ	10	0	0	0	1	1	1	1	2	1	0	0	0	0	1	1	1	1	2	4	5	2	6	11	3	8	5	6	17	14	6	19	12	45	19	22	63	35	76	85	111	203	88	702	1411	1793	52	0
FFQ	11	0	0	0	1	1	1	1	1	1	2	0	0	3	1	1	1	2	2	7	2	4	6	7	7	9	6	11	14	9	15	23	14	49	15	39	60	29	57	73	107	189	86	720	1432	1773	55	0
FFQ	12	0	0	0	0	1	0	1	0	1	2	0	0	1	1	3	3	3	2	6	3	5	4	8	11	12	10	14	17	11	9	27	5	37	25	34	46	39	80	91	93	250	64	712	1436	1694	75	0
