# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c8d817c3	a36e93c0	9e67d9ed
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	17098	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	17098
SN	is sorted:	1
SN	1st fragments:	17098
SN	last fragments:	0
SN	reads mapped:	17098
SN	reads mapped and paired:	17098	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	17098	# proper-pair bit set
SN	reads paired:	17098	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	31
SN	total length:	2564608	# ignores clipping
SN	total first fragment length:	2564608	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	2564608	# ignores clipping
SN	bases mapped (cigar):	2563611	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	10019	# from NM fields
SN	error rate:	3.908159e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	41.3
SN	insert size average:	826.9
SN	insert size standard deviation:	19.4
SN	inward oriented pairs:	8529
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	2	6	4	6	6	7	7	1	4	5	14	6	20	14	33	23	38	30	31	50	63	48	116	28	146	63	42	381	191	136	181	943	291	1457	2268	8863	1574	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	4	1	0	6	8	2	6	3	4	7	6	6	22	30	31	29	40	37	50	53	45	96	72	89	95	130	124	146	180	168	248	186	350	266	323	633	606	555	1685	1950	6785	2021	0	0	0	0
FFQ	3	0	0	0	0	2	0	1	0	1	3	2	1	3	2	9	12	18	19	20	25	23	22	46	32	60	45	71	75	95	73	107	157	126	180	144	240	259	250	510	569	470	1495	2003	7461	2467	0	0	0	0
FFQ	4	0	0	0	2	2	6	1	5	5	3	4	2	5	5	9	13	16	17	18	22	30	26	49	50	62	78	61	57	114	73	89	165	109	215	167	253	237	222	517	569	474	1332	1944	7521	2549	0	0	0	0
FFQ	5	0	0	0	0	2	1	0	1	4	3	3	3	3	7	6	18	17	15	15	22	19	13	51	24	38	61	53	53	90	56	80	182	128	154	112	208	265	155	492	614	378	1278	1968	7875	2631	0	0	0	0
FFQ	6	0	0	0	4	3	4	4	1	2	5	7	5	10	4	12	17	19	24	20	26	22	26	51	50	55	68	60	57	130	57	93	172	109	219	148	236	237	179	516	592	405	1331	1849	7601	2668	0	0	0	0
FFQ	7	0	0	3	21	17	9	10	15	18	20	20	21	23	17	29	56	44	51	65	48	50	80	86	103	127	74	134	85	183	185	130	186	254	220	229	333	328	360	619	452	646	1520	1896	6037	2294	0	0	0	0
FFQ	8	5	0	0	4	5	6	0	2	2	2	7	3	7	7	10	16	15	25	31	18	37	20	50	51	45	42	49	54	98	60	80	181	91	213	140	199	227	169	474	557	386	1383	1824	7697	2806	0	0	0	0
FFQ	9	0	0	1	10	3	5	5	5	5	1	7	12	7	19	11	32	34	44	36	35	60	64	55	93	53	80	72	125	132	149	171	154	163	220	235	218	377	450	275	559	251	803	1037	640	1552	1902	5391	1545	0
FFQ	10	0	0	0	1	7	2	2	3	5	8	6	6	4	12	7	19	22	23	33	41	41	46	46	75	61	62	69	108	133	131	142	129	196	140	255	223	329	382	303	576	257	814	989	842	1414	1918	5663	1553	0
FFQ	11	0	0	1	6	10	4	2	3	2	4	5	9	10	14	12	21	29	30	27	39	37	45	50	63	63	79	82	100	103	121	141	147	194	126	246	220	367	362	334	519	239	691	1045	854	1442	1891	5824	1485	0
FFQ	12	0	0	1	6	1	6	11	3	4	6	6	5	6	9	18	26	32	32	29	37	43	48	56	84	55	68	85	80	128	117	127	123	197	132	265	216	302	356	376	497	238	658	971	935	1327	1914	5923	1539	0
FFQ	13	0	0	1	2	8	5	6	7	7	7	6	10	8	16	15	24	38	29	44	36	32	59	48	64	71	75	74	71	120	135	144	124	185	112	258	217	321	311	389	494	245	708	962	924	1325	2020	5908	1433	0
FFQ	14	0	0	0	4	7	2	5	5	3	8	4	11	9	16	6	28	32	37	42	29	38	45	50	80	79	76	94	91	122	144	142	116	232	97	260	235	311	284	350	512	281	662	926	978	1242	2051	5884	1468	0
FFQ	15	0	0	1	6	5	8	4	7	2	7	8	10	4	9	9	25	37	43	30	24	50	36	59	76	61	66	85	84	98	124	131	127	228	88	289	253	246	284	375	515	268	681	944	1047	1173	2052	5930	1489	0
FFQ	16	0	0	0	12	17	13	13	13	17	9	17	22	19	27	21	24	21	37	40	34	39	57	56	66	54	92	73	101	142	119	146	194	190	195	275	324	232	402	413	428	528	574	915	876	1295	1762	2626	4568	0
FFQ	17	0	0	0	7	8	15	9	11	10	14	20	17	22	24	23	18	21	44	31	42	31	44	55	79	79	89	95	124	130	157	145	197	181	206	237	337	259	422	473	394	558	591	956	956	1192	1773	2527	4475	0
FFQ	18	0	0	1	9	10	12	11	12	13	16	15	16	16	30	28	22	27	45	24	37	45	53	60	58	81	80	97	105	129	131	154	176	169	200	275	315	261	370	440	410	525	633	916	814	1203	1730	2658	4666	0
FFQ	19	5	0	0	9	12	6	6	10	8	14	11	16	19	17	22	18	29	38	38	43	41	55	55	65	68	84	85	101	134	148	132	160	176	166	275	287	260	419	435	384	544	596	869	891	1207	1871	2677	4592	0
FFQ	20	29	0	1	7	16	5	13	13	10	9	12	17	15	27	16	21	28	34	40	38	45	58	65	75	68	93	96	109	136	144	140	171	185	213	292	314	255	388	420	408	521	611	929	936	1208	1755	2698	4414	0
FFQ	21	0	0	1	8	12	12	10	11	14	17	14	19	19	17	20	24	21	34	34	43	39	47	61	55	89	74	103	94	133	149	162	166	196	185	237	282	256	362	407	429	543	614	932	871	1193	1751	2822	4516	0
FFQ	22	0	0	0	6	13	11	10	12	15	20	12	25	15	23	23	32	31	28	27	40	50	48	84	50	78	73	102	77	132	136	136	166	186	185	282	270	249	394	343	428	503	608	959	870	1218	1792	2687	4649	0
FFQ	23	0	0	0	8	16	19	14	4	11	17	12	15	15	25	20	29	26	35	27	37	47	50	66	68	63	76	95	102	121	125	136	168	170	195	277	283	244	362	399	431	518	613	919	893	1234	1745	2744	4624	0
FFQ	24	0	0	0	9	13	8	13	9	12	14	8	21	15	22	22	25	32	39	21	40	48	49	53	75	86	79	117	93	129	130	124	159	174	178	262	300	275	408	427	434	550	614	916	863	1217	1807	2689	4519	0
FFQ	25	0	0	0	17	15	13	12	8	16	10	18	17	16	19	25	39	36	41	30	42	38	48	58	61	83	91	104	92	149	112	165	191	191	204	287	303	290	420	429	402	528	593	904	872	1195	1739	2689	4486	0
FFQ	26	0	0	1	12	13	11	9	15	19	17	8	10	14	27	19	25	23	29	42	38	35	54	64	64	69	68	98	89	129	129	153	169	155	154	293	287	257	365	390	445	525	600	915	895	1217	1773	2706	4668	0
FFQ	27	0	0	0	12	8	7	14	9	10	17	18	12	20	14	27	31	33	28	40	38	36	60	52	53	58	77	103	103	118	141	124	169	194	203	263	304	273	353	397	452	545	594	875	900	1215	1807	2760	4531	0
FFQ	28	0	0	1	13	12	12	11	14	3	18	18	18	21	13	24	31	39	26	35	45	38	57	58	95	74	91	107	116	123	148	138	147	189	202	272	275	260	394	419	427	536	596	822	888	1172	1870	2669	4561	0
FFQ	29	0	0	0	7	9	8	10	17	9	10	15	12	15	19	27	26	35	37	29	43	39	34	65	72	76	83	94	96	131	119	119	188	181	196	255	287	259	378	397	429	540	652	850	874	1282	1763	2721	4590	0
FFQ	30	0	0	0	8	13	11	11	14	16	13	18	22	13	15	15	26	32	27	32	38	35	60	63	64	66	75	122	108	136	122	155	182	176	203	261	300	310	378	391	445	587	570	879	903	1183	1788	2733	4479	0
