# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ded303a7	1b230c57	0f4479f9
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	3043176	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	3043176
SN	is sorted:	1
SN	1st fragments:	3043176
SN	last fragments:	0
SN	reads mapped:	3043176
SN	reads mapped and paired:	3043176	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	3043176	# proper-pair bit set
SN	reads paired:	3043176	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	367
SN	total length:	456456149	# ignores clipping
SN	total first fragment length:	456456149	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	456456149	# ignores clipping
SN	bases mapped (cigar):	455855089	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1242571	# from NM fields
SN	error rate:	2.725803e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.1
SN	insert size average:	257.8
SN	insert size standard deviation:	28.0
SN	inward oriented pairs:	1521566
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	560	0	177	625	608	607	489	762	590	537	655	644	603	847	1060	1684	1536	1974	2651	2028	2728	2070	3199	3783	4265	4035	5696	5896	4649	10704	7882	6254	17593	23587	16792	36651	88340	664502	2115913	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	3	256	284	289	332	273	358	382	432	361	495	550	825	1401	1547	1620	1798	1841	2620	2123	3070	3176	3644	3828	4369	5536	5597	6186	5954	10637	9327	12439	8127	17190	19116	18338	28847	35735	51077	87915	115804	399272	2170202	0	0	0	0
FFQ	3	0	0	0	183	273	253	284	228	281	281	327	321	367	427	650	1104	1229	1390	1534	1461	2145	1724	2453	2643	2893	3227	3413	4729	4485	5194	4954	8749	8078	10832	6372	13740	16047	14681	24958	30746	44424	78178	105492	384865	2247561	0	0	0	0
FFQ	4	77	0	1	238	286	304	280	235	338	305	408	337	411	485	739	1212	1366	1431	1547	1516	2276	1778	2645	2728	3070	3274	3456	5072	4588	5421	5215	9335	8288	11121	6355	14175	16765	14723	25375	31399	45091	78754	105158	385799	2239799	0	0	0	0
FFQ	5	2	0	0	175	219	263	279	184	266	286	315	245	345	400	685	1017	1203	1337	1332	1433	2105	1510	2225	2478	2536	3313	2592	4861	4046	4547	4983	8521	7570	10625	4445	13290	16017	13042	24919	29515	46458	77273	107465	388707	2250147	0	0	0	0
FFQ	6	0	0	0	295	351	414	434	310	417	375	442	409	474	542	782	1221	1434	1549	1637	1498	2230	1842	2623	2702	2776	3378	3127	5005	4386	4966	5011	8575	7686	10765	5132	13204	15630	13141	24317	28546	44070	74245	103960	383146	2260129	0	0	0	0
FFQ	7	75	0	32	1409	1759	1630	1605	1594	1506	1575	1470	1572	1572	1706	2280	3260	3316	3448	3569	3664	4355	4052	5039	4622	6833	5193	7156	7783	7586	9212	7937	13155	11316	14153	12566	18945	20704	21319	29343	38901	43503	88000	102966	372150	2149345	0	0	0	0
FFQ	8	811	0	40	413	534	480	530	428	438	469	558	512	614	659	935	1354	1449	1628	1840	1729	2347	1871	2742	2860	2959	3311	3301	4993	4676	5296	5141	9017	7824	10910	5210	13257	15462	12987	24298	29043	43862	74056	102480	382097	2257755	0	0	0	0
FFQ	9	0	0	6	575	795	721	673	760	701	823	804	862	820	1026	1443	2387	2371	2520	2517	3060	3208	3290	4155	4367	3961	5538	5699	6331	6906	8252	9657	9836	7846	12770	12865	17807	18722	13965	24134	27244	35289	35887	47943	49799	109775	164030	519528	1851508	0
FFQ	10	0	0	2	455	622	556	584	627	530	660	629	768	711	888	1294	2147	2112	2274	2252	2841	2910	2934	4000	3971	3532	5127	5377	5964	6344	7631	9201	9565	7861	11813	12537	18004	17139	12315	24969	26029	34429	36669	47296	51687	109366	170358	526051	1850145	0
FFQ	11	4	0	2	449	598	598	523	594	501	602	595	749	711	879	1318	1907	2047	2277	2135	2811	2751	2851	3883	3741	3266	5027	5370	5912	5972	7361	8796	9423	7731	10936	12702	17562	16636	11225	24023	25031	32626	37363	45730	52005	109381	171787	528725	1856060	0
FFQ	12	61	0	2	402	561	564	586	589	545	564	593	724	734	909	1271	1803	1877	2109	2011	2641	2816	2597	3831	3723	3269	4919	5222	5763	5949	7073	8487	9170	7924	10680	12473	17386	16246	10812	24779	24215	32205	36498	46398	51901	106052	173049	528864	1862329	0
FFQ	13	84	0	4	422	606	638	645	664	555	628	674	740	745	920	1396	1945	2006	2218	2040	2803	2756	2892	3937	3794	3379	4971	5267	5727	6109	7140	8852	9344	8163	10818	12691	17615	16204	10637	25382	24345	32396	37323	46660	51176	107185	175055	528625	1855000	0
FFQ	14	1	0	3	428	588	592	629	689	506	621	654	701	703	877	1338	1850	1887	2258	1996	2587	2751	2745	3650	3692	3207	4870	4967	5733	5872	6916	8513	9016	8312	10176	12615	17180	15978	9603	25854	23601	31823	37393	46239	50923	105878	175444	528268	1863049	0
FFQ	15	0	0	8	452	609	610	630	607	528	627	658	801	677	861	1296	1769	1801	2212	1991	2595	2670	2547	3842	3674	3132	4554	5145	5634	5689	6851	8478	8637	8502	9732	12670	17070	15635	9208	26065	23211	31289	37199	45823	50345	103861	176015	526459	1870507	0
FFQ	16	0	0	1	775	1179	1216	1086	1147	1159	1191	1105	1344	1336	1576	1594	1822	1971	2401	2262	2525	3027	3253	3485	4090	4158	4748	5344	5731	6671	7391	8144	9505	9167	10553	13960	17083	10905	19849	22284	25881	29921	35251	47655	52432	102849	145772	232736	2175641	0
FFQ	17	0	0	0	764	1140	1185	1015	1110	1149	1207	1219	1368	1286	1610	1608	1815	1894	2373	2307	2516	2985	3293	3518	4106	4170	4871	5319	5925	6589	7459	8137	9517	9291	10524	14072	17119	10969	19985	22282	25932	30376	35004	47617	52579	102935	146099	234317	2172620	0
FFQ	18	0	0	4	810	1157	1153	1021	1052	1134	1218	1159	1269	1310	1516	1639	1724	1822	2255	2181	2445	2945	3113	3500	4050	3982	4717	5278	5655	6722	7392	7938	9398	9145	10220	13914	16877	10745	19456	21722	25164	29647	34429	46583	51825	101433	144514	232440	2185503	0
FFQ	19	303	0	2	700	1083	1124	1051	1037	1067	1176	1148	1309	1334	1524	1466	1697	1808	2227	2102	2348	2922	2842	3239	3818	3824	4611	5166	5287	6422	7187	7605	8921	8919	10083	13399	16782	10055	19145	21844	24384	29113	34342	47131	51282	100920	143491	231714	2194222	0
FFQ	20	5584	0	4	760	1084	1183	1037	1086	1111	1148	1214	1247	1221	1552	1610	1730	1779	2114	2326	2382	2832	3090	3356	3782	4029	4614	5229	5347	6563	7200	7870	9173	9028	10411	13390	16836	10388	19152	21868	25244	29552	34400	46939	51763	102020	143865	232586	2182477	0
FFQ	21	26	0	5	779	1077	1145	1061	1057	1135	1183	1221	1284	1361	1617	1639	1739	1887	2266	2256	2441	2939	3056	3365	3929	4151	4656	5326	5485	6658	7305	8095	9146	9136	10560	13509	16675	10875	19415	21892	25105	29460	34918	47254	51749	101749	144250	233793	2183546	0
FFQ	22	90	0	2	705	1059	1131	966	1020	1042	1149	1138	1242	1350	1514	1531	1625	1854	2185	2193	2391	2803	2963	3427	3825	3913	4478	5227	5100	6523	7039	7649	8953	8971	10032	13186	16517	10196	19022	21614	24382	29062	34029	46220	51062	100402	142184	232130	2198080	0
FFQ	23	52	0	5	731	1067	1205	1061	1065	1058	1167	1128	1279	1287	1461	1536	1689	1891	2228	2180	2483	3020	2881	3400	3858	3975	4594	5369	5262	6340	7061	7595	9079	9057	10323	13498	16445	10125	19344	21832	25070	28515	33839	46299	51324	101103	143609	234326	2191460	0
FFQ	24	0	0	2	722	1105	1131	1021	1080	1103	1153	1132	1284	1320	1479	1640	1761	1833	2176	2176	2354	2848	2988	3424	3952	4000	4566	5297	5339	6551	7202	7900	9226	9045	10487	13619	16716	10450	19065	21828	24988	29310	34257	46632	51925	101332	144365	234891	2186501	0
FFQ	25	2	0	3	736	1065	1096	1015	1120	1109	1146	1180	1228	1383	1443	1596	1726	1798	2219	2216	2392	2857	2920	3460	3877	4022	4581	5195	5277	6525	7321	7858	9112	9151	10245	13419	16884	10457	19460	22026	25067	29551	34735	46701	51820	102337	144753	235768	2183324	0
FFQ	26	0	0	6	724	1008	1112	950	952	1050	1056	1063	1225	1263	1378	1551	1635	1765	2021	2085	2259	2838	2677	3301	3848	3638	4331	4981	4938	6131	7037	7504	8631	8765	9899	12949	16290	9761	18258	21415	23872	28734	33877	46011	50609	100349	141801	233089	2204539	0
FFQ	27	0	0	1	718	1001	1147	989	953	992	1084	1078	1190	1166	1476	1528	1595	1775	2078	2095	2266	2692	2883	3224	3713	3598	4489	5013	4963	6208	6832	7614	8580	8830	9917	13126	16296	9873	18742	21252	24388	28969	34157	45434	50779	100258	143672	233960	2200581	0
FFQ	28	185	0	4	727	1077	1184	1007	961	1052	1106	1163	1219	1248	1516	1604	1646	1770	2116	2192	2374	2767	2985	3330	3861	3851	4539	5191	5319	6305	7184	7609	8985	9079	10276	13397	16412	10435	18868	21454	24932	29303	34825	45323	51695	101736	143899	235009	2190455	0
FFQ	29	1	0	3	724	1096	1074	1065	1010	1009	1100	1097	1211	1239	1368	1532	1629	1825	2112	2128	2332	2821	2773	3221	3793	3881	4463	4974	4922	6045	6885	7534	8642	8943	10024	12968	15972	9846	18099	21661	23964	29013	34300	44813	51022	100151	142587	233116	2203187	0
FFQ	30	81	0	5	704	1021	1068	955	978	1043	1089	1079	1123	1207	1466	1505	1574	1723	2006	2078	2309	2681	2661	3109	3746	3548	4473	4896	5172	6097	6814	7536	8485	8811	10111	12946	16240	10070	18178	21231	23720	29401	34271	44214	50929	99440	142607	233230	2205544	0
