# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	6a1417c1	96c598fd	42af42f0
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	419845	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	419845
SN	is sorted:	1
SN	1st fragments:	419845
SN	last fragments:	0
SN	reads mapped:	419845
SN	reads mapped and paired:	419845	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	419845	# proper-pair bit set
SN	reads paired:	419845	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	101
SN	total length:	62975092	# ignores clipping
SN	total first fragment length:	62975092	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	62975092	# ignores clipping
SN	bases mapped (cigar):	62916879	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	199192	# from NM fields
SN	error rate:	3.165955e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	43.3
SN	insert size average:	638.3
SN	insert size standard deviation:	27.1
SN	inward oriented pairs:	209901
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	55	0	28	101	89	72	77	97	88	82	86	85	137	144	165	231	335	414	454	408	534	605	830	713	1271	593	1594	1314	875	3633	2134	2079	3673	9705	4596	17890	32731	224721	107206	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	31	54	49	54	41	65	68	80	89	95	130	160	304	361	431	436	483	619	602	802	803	1145	1004	1195	1604	1598	2066	1912	2660	2699	3410	3087	4778	5023	5191	8945	9750	10634	26201	34178	150843	136165	0	0	0	0
FFQ	3	0	0	0	16	26	30	32	34	29	43	46	50	53	70	99	192	221	294	328	309	385	397	582	548	761	701	866	1142	1205	1401	1417	2158	1869	2894	2470	3569	3879	3847	7271	8473	9178	21307	31218	155535	154900	0	0	0	0
FFQ	4	8	0	1	30	53	44	50	49	57	67	72	58	61	115	119	220	255	345	352	393	505	409	643	640	843	744	934	1177	1357	1405	1341	2259	1889	2999	2418	3354	3958	3856	7080	8643	8806	20784	30123	153948	157381	0	0	0	0
FFQ	5	0	0	0	26	25	27	38	27	35	36	35	52	57	63	80	204	181	234	277	287	337	300	562	545	572	703	691	1036	1170	1107	1218	1914	1608	2628	1842	3286	3621	2826	6588	8186	7889	18374	30618	156757	163783	0	0	0	0
FFQ	6	0	0	3	40	36	62	71	57	67	77	92	96	87	128	133	255	282	392	368	393	456	383	729	648	797	765	845	1120	1419	1261	1309	2245	1695	2958	2028	3369	3548	3199	7145	8280	8375	19156	30388	154885	160203	0	0	0	0
FFQ	7	8	0	49	367	357	370	272	293	299	347	321	349	346	426	465	839	648	824	886	927	987	1229	1280	1237	1956	1277	1903	1846	2254	2601	2290	2923	3834	3616	3723	5415	5544	5885	9161	9402	10573	27791	32278	132689	139758	0	0	0	0
FFQ	8	100	0	3	75	66	60	79	62	67	101	81	84	81	100	155	263	253	363	351	371	420	322	704	605	693	785	811	1025	1358	1182	1202	2113	1565	2819	2076	3091	3424	3099	6752	7943	8070	18532	29151	154082	165306	0	0	0	0
FFQ	9	0	0	12	98	110	103	111	129	121	109	145	168	144	221	252	438	483	554	518	706	751	825	935	1202	978	1351	1261	1707	2009	2016	2538	2445	2150	3568	3243	4091	5240	6320	4754	9184	6679	11500	15137	11832	26649	41899	137673	107486	0
FFQ	10	0	0	5	76	98	73	103	91	85	93	116	157	107	149	199	400	415	501	484	562	644	686	827	1038	849	1186	1220	1450	1808	1873	2254	2023	2427	2845	3193	3956	4543	5326	5223	7781	6156	10497	15111	13754	23932	41511	145826	108192	0
FFQ	11	0	0	5	105	88	88	101	110	90	109	103	138	141	188	214	385	392	491	429	531	633	620	756	1030	841	1164	1135	1515	1604	1914	2066	1991	2600	2435	3342	3942	4368	5093	5589	7620	5992	10111	14461	14221	23890	41070	148221	107913	0
FFQ	12	11	0	5	83	92	92	83	93	97	131	122	130	115	168	201	381	417	434	486	574	631	650	800	1026	773	1129	1167	1381	1640	1857	2133	1865	2778	2250	3407	3806	4208	4683	5943	7334	5930	9949	14883	14402	22434	41705	149708	107658	0
FFQ	13	6	0	4	71	93	96	102	108	106	118	113	142	126	181	209	401	385	472	506	562	638	672	867	1046	819	1218	1265	1462	1618	1960	2220	1909	2828	2270	3552	3981	4186	4594	6216	7372	5873	10299	14846	14448	22241	42226	149016	106402	0
FFQ	14	0	0	8	95	118	113	97	114	102	124	128	152	124	191	220	391	383	508	480	589	651	711	844	991	862	1147	1299	1397	1655	1843	2190	1887	3028	1953	3591	3930	4062	4322	6475	7100	6022	10075	14506	14902	21452	42978	151373	104662	0
FFQ	15	0	0	3	105	100	105	113	94	99	102	124	142	125	161	230	378	412	464	497	522	606	651	744	909	804	1057	1218	1334	1557	1887	2009	1727	3026	1794	3600	3972	3883	3856	6652	6775	5693	9870	14648	15060	20135	43233	153307	106062	0
FFQ	16	0	0	5	124	217	188	174	201	190	222	211	248	242	332	312	384	413	540	523	617	608	883	805	1003	1110	1175	1311	1650	1952	2026	2208	2583	2654	2922	4098	4888	3909	5775	6576	7007	8380	9602	15115	15054	21883	34001	59302	196222	0
FFQ	17	0	0	5	144	206	171	177	204	215	238	232	289	298	347	313	387	440	533	546	639	645	872	903	1012	1105	1314	1282	1742	1983	2114	2260	2699	2833	2887	3990	4953	3896	5777	6715	7033	8349	9672	15230	15223	22359	34126	58870	194617	0
FFQ	18	0	0	5	146	183	182	183	208	230	234	219	283	262	322	312	378	374	503	515	517	613	834	853	931	1106	1133	1235	1590	1904	2032	2086	2592	2564	2763	3814	4840	3829	5647	6417	6785	8147	9253	15143	14560	22004	33942	59389	198783	0
FFQ	19	50	0	1	163	177	175	186	176	174	207	209	272	227	304	319	385	395	495	475	601	625	711	860	992	1055	1134	1260	1503	1847	1941	2106	2453	2681	2727	3863	4709	3717	5542	6223	6576	8080	9286	15160	14917	22205	34091	59868	198722	0
FFQ	20	735	0	9	132	197	196	172	197	192	241	230	263	309	316	365	400	450	469	521	560	645	798	900	980	1077	1229	1393	1524	1865	2028	2175	2546	2684	2794	3863	4757	4061	5714	6256	6830	8269	9509	15162	15047	22013	34280	59506	195986	0
FFQ	21	0	0	6	157	191	168	183	206	220	234	208	280	267	316	314	419	424	493	574	579	614	826	901	968	1102	1246	1397	1442	1965	2053	2158	2585	2737	2919	3990	4627	3854	5721	6236	6922	8073	9454	15194	14911	21915	34348	59372	197076	0
FFQ	22	10	0	8	149	228	179	199	185	207	224	208	237	279	258	300	392	466	506	503	570	673	723	845	936	1078	1228	1286	1379	1836	1929	2126	2412	2586	2674	3681	4602	3728	5464	6290	6567	8175	9267	14744	14877	21792	34011	59322	200506	0
FFQ	23	10	0	5	146	221	172	218	173	203	247	212	251	262	288	321	431	381	451	572	602	631	738	861	959	1082	1197	1379	1469	1917	1973	2146	2514	2683	2754	3792	4758	3761	5505	6233	6687	8047	9256	15114	14828	21730	33934	59126	199605	0
FFQ	24	0	0	6	142	174	200	175	197	215	215	217	287	250	305	324	378	459	501	580	533	689	749	868	959	1116	1224	1387	1484	1977	1950	2128	2487	2663	2734	3929	4714	3820	5642	6286	6830	8300	9472	14701	15110	21850	33809	59850	197958	0
FFQ	25	1	0	10	135	225	198	191	202	209	219	221	277	280	353	315	390	455	489	559	573	667	776	940	983	1126	1189	1391	1452	1910	2099	2173	2659	2745	2913	3880	4738	3932	5697	6358	6788	8335	9484	15061	15329	21921	34060	59289	196647	0
FFQ	26	0	0	4	151	216	204	180	180	178	206	233	239	282	282	325	363	461	422	479	544	653	698	925	955	1086	1167	1317	1342	1801	1887	2001	2462	2564	2653	3859	4596	3800	5628	6014	6495	8085	9505	14820	15155	21406	34521	59796	199704	0
