# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	249bf238	86917c7d	9285de55
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1425659	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1425659
SN	is sorted:	1
SN	1st fragments:	1425659
SN	last fragments:	0
SN	reads mapped:	1425659
SN	reads mapped and paired:	1425659	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	1425659	# proper-pair bit set
SN	reads paired:	1425659	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	95
SN	total length:	213843716	# ignores clipping
SN	total first fragment length:	213843716	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	213843716	# ignores clipping
SN	bases mapped (cigar):	213660992	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	621582	# from NM fields
SN	error rate:	2.909197e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	44.1
SN	insert size average:	540.6
SN	insert size standard deviation:	27.6
SN	inward oriented pairs:	712810
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	186	0	96	285	265	243	220	270	269	240	272	268	373	406	583	730	927	1167	1272	1129	1528	1504	2103	2044	3095	1834	4010	3588	2408	8260	5202	5526	10117	21353	12098	38862	77086	636761	579079	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	3	109	152	150	162	158	173	215	183	221	256	337	453	883	962	1073	1223	1245	1610	1535	2167	1940	2990	2761	3229	4284	3886	5406	4741	7030	6723	9366	8184	11790	12915	14239	22797	25614	29644	68505	84620	393969	687756	0	0	0	0
FFQ	3	0	0	0	52	77	99	99	88	110	128	126	166	169	209	269	563	638	729	832	939	1111	1105	1646	1429	2097	1896	2313	3152	2982	3951	3499	5680	4876	7490	6068	9170	10332	10733	18722	21805	25892	56012	75790	388453	754162	0	0	0	0
FFQ	4	13	0	1	86	136	142	143	142	136	183	180	183	241	273	365	708	732	873	950	955	1255	1172	1709	1686	2161	1996	2500	3238	3079	3991	3542	5949	4905	7609	6160	8875	10545	10499	18786	22265	24967	54856	75796	385062	756614	0	0	0	0
FFQ	5	0	0	0	69	86	96	98	96	119	128	114	127	136	180	244	516	599	657	734	738	960	839	1368	1375	1518	1832	1805	2862	2692	3167	2995	5124	4268	6822	4479	8402	9488	8015	17324	20052	23738	48226	76135	387599	779837	0	0	0	0
FFQ	6	0	0	5	128	189	184	203	186	177	233	221	202	240	313	364	686	748	915	1047	988	1239	1084	1818	1678	2027	2141	2266	3026	3388	3635	3284	5918	4484	7678	5198	9063	9470	8727	18438	20674	24635	49775	76416	386315	766253	0	0	0	0
FFQ	7	33	0	97	985	1068	949	917	898	849	1012	859	957	977	1161	1413	2195	1846	2443	2396	2462	2858	3178	3349	3321	5040	3463	5108	5358	5611	7044	6087	8245	9178	9705	10046	13755	14816	16026	22994	26932	27594	74195	80687	352700	684852	0	0	0	0
FFQ	8	345	0	10	187	208	219	231	200	209	249	209	284	307	339	397	791	753	895	1035	990	1249	1071	1699	1701	2023	1966	2292	2972	3173	3565	3020	5607	4385	7357	5220	8367	9166	8476	17734	19926	23915	48117	73798	382518	778484	0	0	0	0
FFQ	9	0	0	8	307	382	377	340	422	294	385	408	491	400	600	726	1398	1286	1465	1475	1843	2126	2138	2540	3219	2497	3664	3770	4362	5405	5319	6915	6244	6054	9409	8887	11470	13149	15522	13282	22207	21297	28856	38223	33922	69773	118299	395820	558683	0
FFQ	10	0	0	9	224	290	242	279	303	254	347	305	346	342	496	629	1100	1141	1298	1271	1659	1794	1788	2268	2769	2136	3220	3216	3782	4718	5025	6082	5394	6644	7628	8243	11089	11400	13447	14779	19327	19802	26659	37410	36522	64775	119753	412634	562820	0
FFQ	11	0	0	8	234	293	261	293	298	258	345	301	404	354	523	576	1102	1087	1312	1262	1507	1758	1797	2148	2666	2171	3107	3211	3884	4561	5011	5609	5237	6812	6947	8273	10715	10795	12819	15075	18507	19055	26250	36438	37873	63827	118563	420428	561704	0
FFQ	12	24	0	8	240	292	273	314	297	265	336	310	370	359	461	599	1073	1120	1225	1341	1546	1734	1737	2193	2616	2178	3125	3212	3697	4224	4757	5719	5195	6957	6376	8641	10614	10427	11919	16045	17931	18661	25492	37303	37735	60572	120810	423223	562113	0
FFQ	13	23	0	17	238	323	300	339	318	284	358	349	395	444	501	671	1114	1175	1328	1349	1564	1712	1921	2267	2598	2297	3106	3356	3895	4595	5043	5910	5158	7244	6456	8963	11094	10690	11705	16923	17940	18645	26544	37410	37665	60304	122904	422653	555571	0
FFQ	14	1	0	11	266	305	288	313	291	255	331	333	396	370	521	696	1081	1130	1415	1347	1557	1751	1814	2224	2601	2216	3096	3348	3742	4441	4844	5709	5007	7714	5708	8941	11042	10175	10754	17704	17468	18545	26182	37093	38381	58122	125265	428626	552239	0
FFQ	15	0	0	11	266	334	303	312	282	285	324	378	379	384	475	635	1054	1129	1327	1330	1573	1679	1752	2128	2605	2065	2910	3316	3572	4099	4683	5452	4652	7604	5304	9054	10586	9782	10088	17556	16621	18012	25702	36699	38285	55625	125273	429832	559942	0
FFQ	16	0	0	8	370	648	632	543	580	566	645	648	758	758	930	909	1046	1109	1428	1417	1640	1737	2229	2279	2675	2909	3371	3448	4395	5034	5260	5689	6688	7387	7497	10164	12762	10044	14931	16664	18453	21176	25319	39271	39821	60325	93457	169114	818925	0
FFQ	17	0	0	5	435	668	651	545	584	587	683	654	755	787	948	945	1121	1150	1467	1527	1661	1832	2235	2339	2804	2896	3250	3560	4449	5127	5469	5774	6951	7378	7696	10357	12665	10365	15021	16867	18281	21673	25646	39596	40535	60115	94043	169387	814175	0
