# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	8d2a1757	f9822908	95fb2797
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	108310	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	108310
SN	is sorted:	1
SN	1st fragments:	108310
SN	last fragments:	0
SN	reads mapped:	108310
SN	reads mapped and paired:	108310	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	108310	# proper-pair bit set
SN	reads paired:	108310	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	67
SN	total length:	16245569	# ignores clipping
SN	total first fragment length:	16245569	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	16245569	# ignores clipping
SN	bases mapped (cigar):	16229525	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	56861	# from NM fields
SN	error rate:	3.503553e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	42.3
SN	insert size average:	736.8
SN	insert size standard deviation:	26.6
SN	inward oriented pairs:	54129
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	8	0	12	23	17	19	19	31	26	16	18	33	40	32	67	74	127	135	145	151	161	217	280	203	479	136	580	403	285	1565	784	625	1096	3960	1564	7006	11774	60215	15984	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	7	16	12	14	9	15	29	21	33	38	57	55	105	101	153	150	151	204	201	312	271	398	388	450	493	634	698	692	932	903	1163	1029	1687	1638	1748	3078	3291	3203	8410	11204	43463	20854	0	0	0	0
FFQ	3	0	0	0	4	3	3	7	16	10	12	8	20	16	19	24	66	66	94	92	105	133	123	201	200	265	266	299	368	455	479	492	712	630	983	821	1244	1336	1264	2543	2949	2685	7373	10440	46836	24648	0	0	0	0
FFQ	4	1	0	1	13	15	18	16	17	17	13	17	24	31	42	40	94	93	101	104	117	156	113	205	234	277	294	346	374	542	456	457	785	635	1011	810	1107	1232	1153	2450	3006	2621	6987	10067	46865	25353	0	0	0	0
FFQ	5	0	0	0	8	12	6	9	9	12	13	9	10	21	15	23	65	58	91	102	103	117	87	179	199	206	237	240	291	436	317	433	682	582	894	598	1152	1285	915	2179	2974	2321	6380	10438	47921	26681	0	0	0	0
FFQ	6	0	0	1	14	8	14	22	13	16	34	19	34	17	47	40	88	89	135	138	120	158	124	207	239	277	307	312	351	514	411	442	858	572	969	706	1147	1236	1023	2460	2903	2375	6783	10069	46968	26050	0	0	0	0
FFQ	7	0	0	18	110	105	113	103	85	96	126	111	97	95	128	134	288	210	282	311	300	267	417	404	400	646	408	658	543	790	844	724	917	1299	1150	1165	1927	1730	1838	3165	2758	3570	8557	10220	38323	22878	0	0	0	0
FFQ	8	22	0	2	20	23	19	20	21	14	27	19	38	33	28	25	80	83	118	113	113	148	112	219	216	244	257	266	352	490	371	407	757	496	941	697	1023	1144	975	2345	2621	2303	6467	9852	47518	27271	0	0	0	0
FFQ	9	0	0	3	30	36	39	25	37	29	40	32	65	27	68	61	157	142	200	170	236	240	250	305	357	326	446	391	552	663	668	894	847	670	1178	1127	1266	1870	2169	1490	3209	1751	4101	5072	3539	8790	11840	36777	16125	0
FFQ	10	0	0	2	23	24	21	23	26	29	21	34	41	43	53	63	135	121	166	130	182	221	219	290	357	292	392	384	474	560	637	713	696	857	903	1175	1269	1691	1801	1664	2747	1664	3682	5184	4233	7899	11546	39530	16093	0
