# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	47d70a44	f4272328	1acb02a0
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	968376	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	968376
SN	is sorted:	1
SN	1st fragments:	968376
SN	last fragments:	0
SN	reads mapped:	968376
SN	reads mapped and paired:	968376	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	968376	# proper-pair bit set
SN	reads paired:	968376	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	302
SN	total length:	138942492	# ignores clipping
SN	total first fragment length:	138942492	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	138942492	# ignores clipping
SN	bases mapped (cigar):	138678704	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	377785	# from NM fields
SN	error rate:	2.724175e-03	# mismatches / bases mapped (cigar)
SN	average length:	143
SN	average first fragment length:	143
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.2
SN	insert size average:	162.1
SN	insert size standard deviation:	26.5
SN	inward oriented pairs:	408308
SN	outward oriented pairs:	75836
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	196	0	63	196	207	184	135	222	171	170	205	209	183	282	351	547	481	590	782	647	820	636	936	1190	1259	1247	1576	1865	1491	3197	2443	1689	5510	6771	5074	10321	26171	191011	699348	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	1	81	83	104	121	87	111	133	124	100	158	157	324	428	500	546	568	599	884	690	921	1047	1027	1215	1393	1720	1831	1717	1943	3476	3202	4099	2153	5580	6479	5846	9473	11580	18163	28252	38949	121703	690808	0	0	0	0
FFQ	3	0	0	0	70	84	80	74	71	101	102	123	83	123	134	184	341	402	397	489	482	654	545	775	817	879	1042	986	1421	1553	1463	1658	2810	2594	3501	1690	4329	5239	4664	7764	9614	15015	24896	34423	116180	720524	0	0	0	0
FFQ	4	24	0	0	84	87	103	98	65	101	101	91	85	137	154	252	366	441	462	485	542	731	574	788	827	929	1074	1122	1585	1474	1482	1712	3007	2662	3520	1726	4480	5411	4701	7931	10013	15217	24561	34159	115804	719208	0	0	0	0
FFQ	5	0	0	0	65	73	101	87	63	97	97	104	85	149	129	193	320	379	419	392	474	672	489	755	825	808	978	827	1656	1436	1349	1692	2702	2570	3545	1250	4266	5300	4298	7804	9656	15640	24872	34840	117961	718958	0	0	0	0
FFQ	6	0	0	0	98	106	117	142	72	130	124	132	108	145	177	289	392	408	465	482	502	697	517	745	844	837	1125	880	1477	1377	1456	1574	2767	2520	3314	1370	4230	4950	4256	7667	9135	14661	23636	33363	115018	726071	0	0	0	0
FFQ	7	18	0	8	368	456	408	396	405	367	465	405	394	437	450	640	882	884	1053	1013	1004	1294	1151	1442	1331	1863	1510	2077	2285	2280	2471	2264	4041	3415	4150	3553	5805	6589	6265	8884	11584	13911	25494	31952	110018	702694	0	0	0	0
FFQ	8	286	0	11	113	132	140	166	117	140	153	155	156	171	226	278	427	463	524	530	501	710	591	812	841	859	1057	1030	1545	1392	1450	1646	2696	2576	3365	1319	4234	4825	4223	7484	9273	14408	23482	32317	114310	727242	0	0	0	0
FFQ	9	0	0	2	162	185	196	204	217	185	211	251	225	210	298	489	673	699	753	666	927	954	932	1237	1339	1155	1635	1801	1989	1819	2545	2939	3113	2210	3996	4119	5625	5857	3629	7911	8465	11111	10927	15499	15428	34723	50905	157880	602080	0
FFQ	10	0	0	0	146	155	167	181	197	160	191	192	205	216	266	440	633	576	737	608	858	912	899	1200	1223	1108	1670	1699	1840	1826	2368	2823	3167	2125	3889	4091	5820	5677	3287	8044	8250	10712	11606	15307	16306	35279	53005	159446	598869	0
