# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	f8c5b4fb	d84d6b53	40c6d646
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	5548802	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	5548802
SN	is sorted:	1
SN	1st fragments:	5548802
SN	last fragments:	0
SN	reads mapped:	5548802
SN	reads mapped and paired:	5548802	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	5548802	# proper-pair bit set
SN	reads paired:	5548802	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	279
SN	total length:	832290412	# ignores clipping
SN	total first fragment length:	832290412	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	832290412	# ignores clipping
SN	bases mapped (cigar):	831472868	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	2253553	# from NM fields
SN	error rate:	2.710314e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.0
SN	insert size average:	349.9
SN	insert size standard deviation:	27.8
SN	inward oriented pairs:	2774371
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	975	0	304	1046	1052	997	902	1255	1061	984	1128	1064	1169	1542	1888	2970	3055	3601	4652	3499	5355	3962	6262	7116	8217	6836	11147	11027	8204	21057	14762	13527	32465	48460	32818	79352	179853	1436683	3588555	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	13	388	458	485	504	478	578	590	707	678	849	994	1530	2448	2834	3066	3342	3453	4767	4053	5756	5642	7225	7199	8400	11071	9901	13200	11768	20733	17294	24433	17984	32622	35192	35699	57013	69139	90755	174979	215774	829368	3815440	0	0	0	0
FFQ	3	0	0	1	313	391	381	442	379	500	465	574	520	564	767	1065	1990	2157	2423	2865	2673	3741	3196	4475	4623	5732	5938	6648	8990	8079	10816	9448	16389	14422	20325	13857	26206	29909	28054	48375	58123	79888	151804	196823	795060	3979411	0	0	0	0
FFQ	4	96	0	1	372	472	492	484	451	567	523	606	572	734	861	1233	2230	2356	2585	2961	2811	4004	3376	4740	4877	6069	5862	6882	9416	8252	10958	9650	17432	14764	20925	13847	26308	30847	28147	49109	59995	80483	152313	199561	804892	3955686	0	0	0	0
FFQ	5	1	0	0	266	329	320	403	309	436	391	506	439	574	664	1068	1701	1919	2239	2375	2399	3481	2810	4107	4334	4573	5474	5051	8852	7378	8879	8892	15050	13348	19797	9902	24144	28764	22871	46397	54236	80591	142992	201258	803939	4005343	0	0	0	0
FFQ	6	0	0	2	495	625	680	701	641	689	694	766	743	843	1033	1481	2230	2487	2732	3039	2765	3925	3169	4933	5048	5524	5896	6304	9084	8406	10269	9310	16029	14039	20276	11307	24878	28425	24355	48004	54427	79544	141125	197752	802412	3991715	0	0	0	0
FFQ	7	130	0	104	2746	3397	3139	2915	2945	2839	3159	2916	2974	3089	3270	4432	6267	6110	6825	6694	7086	8618	8105	10073	8796	13636	10025	14032	15515	14627	18432	16118	24710	22295	27816	26087	36894	39974	42687	58092	76875	79104	181780	200705	781934	3740835	0	0	0	0
FFQ	8	1514	0	72	740	830	840	912	728	847	920	941	902	1005	1143	1667	2561	2635	3092	3353	3042	4157	3358	5326	5182	5614	5922	6422	9371	8626	10438	9412	16607	14071	20506	11620	24693	28430	23972	47984	54057	78635	140284	194844	799992	3991535	0	0	0	0
FFQ	9	0	0	16	1049	1482	1367	1323	1410	1174	1456	1451	1620	1489	1947	2485	4531	4328	4794	4555	5728	6007	6347	7942	8439	7774	10398	11019	12233	14315	15086	19017	18174	16497	24949	23463	33737	34877	32417	44241	54594	67115	71854	92524	98916	207665	321668	1034433	3210896	0
FFQ	10	2	0	10	817	1089	1005	1065	1113	955	1166	1236	1261	1281	1656	2178	3791	3754	4167	4024	5142	5412	5690	7367	7475	6747	9570	9877	10932	13027	13851	17304	16872	17034	21616	23118	33121	31569	28345	45835	49207	64126	70710	90856	100699	202466	333190	1055925	3221149	0
