# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	8f66dab5	faef4d87	916d0a27
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	620	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	620
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	620
SN	reads mapped:	620
SN	reads mapped and paired:	620	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	620	# proper-pair bit set
SN	reads paired:	620	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	8
SN	supplementary alignments:	0
SN	total length:	92959	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	92959	# ignores clipping
SN	bases mapped:	92959	# ignores clipping
SN	bases mapped (cigar):	92377	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1109	# from NM fields
SN	error rate:	1.200515e-02	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	35.7
SN	insert size average:	807.4
SN	insert size standard deviation:	5.2
SN	inward oriented pairs:	303
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	1	2	1	1	2	5	4	4	12	14	22	21	46	247	230	1	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	2	2	1	0	0	4	3	5	2	6	4	5	11	13	14	27	69	447	0	0	0	0	0	0	0	0
LFQ	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	3	3	3	3	3	2	4	4	7	5	4	6	14	12	23	87	428	3	0	0	0	0	0	0	0
LFQ	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	1	1	1	1	2	0	3	3	1	4	1	7	6	7	8	13	6	27	78	438	6	0	0	0	0	0	0	0
LFQ	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	3	2	0	3	5	2	0	3	0	5	4	4	5	9	2	12	15	24	54	418	46	0	0	0	0	0	0	0
LFQ	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	4	0	1	1	0	5	7	3	4	7	1	3	4	5	9	5	11	9	10	26	16	28	41	71	93	78	113	61	0
LFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	1	4	2	5	0	3	0	5	5	9	8	3	4	13	7	6	16	17	25	30	41	50	81	83	138	57	0
LFQ	8	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	2	0	4	2	5	1	3	3	2	3	7	1	2	6	6	9	7	8	9	8	28	17	34	25	57	74	102	124	66	0
LFQ	9	0	0	0	0	1	2	0	0	1	1	0	1	1	0	0	2	1	0	3	1	0	5	2	4	3	2	7	2	9	7	3	3	9	12	4	12	22	19	36	37	49	76	92	122	69	0
LFQ	10	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	2	2	0	3	1	5	4	1	6	2	4	7	8	2	10	13	7	16	13	20	33	32	62	60	94	149	58	0
LFQ	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	1	0	0	4	2	8	4	1	8	10	9	4	7	1	12	6	11	8	10	11	11	39	34	46	77	86	139	65	0
LFQ	12	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	1	3	3	3	0	4	2	3	2	6	7	9	4	2	6	7	7	5	11	14	16	17	23	39	43	83	93	130	72	0
LFQ	13	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	4	2	3	1	3	1	2	5	1	2	4	0	6	5	9	4	3	5	11	10	10	20	9	29	35	38	68	90	154	80	0
LFQ	14	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	1	2	2	2	1	2	7	4	2	1	3	4	6	3	5	5	3	9	15	10	15	13	16	31	32	38	68	86	160	68	0
LFQ	15	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	2	1	5	3	4	8	4	8	2	4	11	6	7	12	6	16	11	15	28	36	30	62	96	145	91	0
LFQ	16	0	0	0	1	2	0	1	0	0	1	0	0	0	2	0	2	1	4	3	2	2	3	3	6	3	5	4	3	1	3	6	7	7	8	10	15	23	14	24	37	25	71	95	136	90	0
LFQ	17	0	0	0	2	2	1	0	0	1	0	1	0	0	0	0	1	1	2	3	2	3	4	2	3	10	3	1	7	5	9	5	6	10	5	13	14	14	11	22	35	40	67	78	155	82	0
