chrom	length	bases	mean	min	max
chr1	248956422	6760953067	27.15717	0	9154
chr2	242193529	5976609207	24.67700	0	343
chr3	198295559	6359866006	32.07266	0	17696
chr4	190214555	3761276691	19.77386	0	30732
chr5	181538259	3779625995	20.82000	0	4640
chr6	170805979	5535236916	32.40658	0	737
chr7	159345973	6436098897	40.39072	0	784
chr8	145138636	5676263303	39.10925	0	960
chr9	138394717	4002296369	28.91943	0	1518
chr10	133797422	3042639523	22.74064	0	1396
chr11	135086622	4925965833	36.46524	0	460
chr12	133275309	4377679346	32.84689	0	646
chr13	114364328	2683003482	23.46014	0	1395
chr14	107043718	2842207204	26.55184	0	728
chr15	101991189	2562045976	25.12027	0	1357
chr16	90338345	2110987210	23.36757	0	4231
chr17	83257441	2035907398	24.45316	0	6264
chr18	80373285	2572159534	32.00267	0	502
chr19	58617616	1305218968	22.26667	0	373
chr20	64444167	2158606491	33.49576	0	1354
chr21	46709983	1247252486	26.70205	0	1146
chr22	50818468	863402958	16.98994	0	1850
chrX	156040895	2490298578	15.95927	0	202
chrY	57227415	40937366	0.71535	0	1440
chrM	16569	22348327	1348.80361	1244	1430
chr1_KI270706v1_random	175055	3640440	20.79598	2	37
chr1_KI270707v1_random	32032	513917	16.04386	0	30
chr1_KI270708v1_random	127682	241447	1.89100	0	11
chr1_KI270709v1_random	66860	11284503	168.77809	0	861
chr1_KI270710v1_random	40176	550957	13.71359	0	32
chr1_KI270711v1_random	42210	2197984	52.07259	1	85
chr1_KI270712v1_random	176043	1121377	6.36990	0	27
chr1_KI270713v1_random	40745	2429500	59.62695	1	96
chr1_KI270714v1_random	41717	1362534	32.66136	2	60
chr2_KI270715v1_random	161471	6723579	41.63955	0	174
chr2_KI270716v1_random	153799	2577448	16.75855	0	51
chr3_GL000221v1_random	155397	6813103	43.84321	0	138
chr4_GL000008v2_random	209709	9302766	44.36036	1	578
chr5_GL000208v1_random	92689	4596267	49.58805	9	67
chr9_KI270717v1_random	40062	726879	18.14385	0	37
chr9_KI270718v1_random	38054	2972975	78.12516	0	147
chr9_KI270719v1_random	176845	6688648	37.82209	0	95
chr9_KI270720v1_random	39050	2003402	51.30351	4	84
chr11_KI270721v1_random	100316	556298	5.54546	0	22
chr14_GL000009v2_random	201709	9245926	45.83794	0	100
chr14_GL000225v1_random	211173	57575559	272.64640	0	1149
chr14_KI270722v1_random	194050	4914971	25.32837	0	46
chr14_GL000194v1_random	191469	9836034	51.37142	6	112
chr14_KI270723v1_random	38115	1181801	31.00619	4	66
chr14_KI270724v1_random	39555	421916	10.66657	0	37
chr14_KI270725v1_random	172810	4710433	27.25787	0	59
chr14_KI270726v1_random	43739	145382	3.32385	0	22
chr15_KI270727v1_random	448248	9985983	22.27781	0	101
chr16_KI270728v1_random	1872759	36550305	19.51682	0	96
chr17_GL000205v2_random	185591	14707159	79.24500	0	146
chr17_KI270729v1_random	280839	9130419	32.51122	0	672
chr17_KI270730v1_random	112551	4439190	39.44159	0	255
chr22_KI270731v1_random	150754	2637576	17.49589	0	45
chr22_KI270732v1_random	41543	1731188	41.67220	1	70
chr22_KI270733v1_random	179772	51033092	283.87676	0	1289
chr22_KI270734v1_random	165050	5941359	35.99733	0	1454
chr22_KI270735v1_random	42811	3553542	83.00535	14	126
chr22_KI270736v1_random	181920	16658878	91.57255	0	376
chr22_KI270737v1_random	103838	1164443	11.21404	0	37
chr22_KI270738v1_random	99375	2189510	22.03281	0	72
chr22_KI270739v1_random	73985	409697	5.53757	0	27
chrUn_KI270303v1	1942	9971	5.13440	0	7
chrUn_KI270305v1	1472	54	0.03668	0	1
chrUn_KI270322v1	21476	672	0.03129	0	1
chrUn_KI270320v1	4416	2636	0.59692	0	1
chrUn_KI270310v1	1201	5203	4.33222	2	7
chrUn_KI270316v1	1444	3077	2.13089	0	4
chrUn_KI270315v1	2276	732	0.32162	0	1
chrUn_KI270312v1	998	723	0.72445	0	2
chrUn_KI270311v1	12399	2946	0.23760	0	2
chrUn_KI270317v1	37690	1882	0.04993	0	1
chrUn_KI270411v1	2646	39488	14.92366	0	22
chrUn_KI270414v1	2489	1087	0.43672	0	1
chrUn_KI270419v1	1029	3114	3.02624	0	5
chrUn_KI270418v1	2145	6390	2.97902	0	5
chrUn_KI270420v1	2321	1500	0.64627	0	1
chrUn_KI270417v1	2043	2628	1.28634	0	3
chrUn_KI270422v1	1445	2644	1.82976	0	3
chrUn_KI270423v1	981	4375	4.45973	1	6
chrUn_KI270429v1	1361	67	0.04923	0	1
chrUn_KI270442v1	392061	30613252	78.08288	0	216
chrUn_KI270466v1	1233	756547	613.58232	108	946
chrUn_KI270465v1	1774	9432	5.31680	1	9
chrUn_KI270467v1	3920	161424740	41179.78061	22	56300
chrUn_KI270435v1	92983	4790813	51.52354	23	206
chrUn_KI270438v1	112505	99380448	883.34250	0	9037
chrUn_KI270468v1	4055	111259	27.43748	14	31
chrUn_KI270510v1	2415	66603	27.57888	25	29
chrUn_KI270509v1	2318	2176	0.93874	0	4
chrUn_KI270518v1	2186	6758	3.09149	0	5
chrUn_KI270508v1	1951	7575	3.88262	2	7
chrUn_KI270516v1	1300	20536	15.79692	0	27
chrUn_KI270512v1	22689	897084	39.53828	0	65
chrUn_KI270519v1	138126	8333992	60.33616	0	186
chrUn_KI270522v1	5674	162289	28.60222	0	35
chrUn_KI270511v1	8127	341088	41.96973	0	49
chrUn_KI270515v1	6361	420457	66.09920	45	79
chrUn_KI270507v1	5353	110791	20.69699	19	23
chrUn_KI270517v1	3253	58325	17.92960	14	20
chrUn_KI270529v1	1899	3607	1.89942	0	5
chrUn_KI270528v1	2983	1073	0.35970	0	4
chrUn_KI270530v1	2168	3626	1.67251	0	2
chrUn_KI270539v1	993	145	0.14602	0	1
chrUn_KI270538v1	91309	7653055	83.81490	0	654
chrUn_KI270544v1	1202	1311	1.09068	0	2
chrUn_KI270587v1	2969	165421	55.71607	24	87
chrUn_KI270581v1	7046	7966	1.13057	0	2
chrUn_KI270579v1	31033	548605	17.67812	0	44
chrUn_KI270589v1	44474	1353414	30.43158	0	226
chrUn_KI270590v1	4685	335566	71.62561	0	88
chrUn_KI270584v1	4513	86426	19.15045	8	30
chrUn_KI270582v1	6504	6152	0.94588	0	4
chrUn_KI270588v1	6158	109221	17.73644	0	34
chrUn_KI270591v1	5796	331930	57.26881	10	95
chrUn_KI270330v1	1652	7914	4.79056	0	13
chrUn_KI270329v1	1040	442	0.42500	0	1
chrUn_KI270333v1	2699	18945461	7019.43720	95	7931
chrUn_KI270335v1	1048	527	0.50286	0	1
chrUn_KI270336v1	1026	88751	86.50195	9	117
chrUn_KI270337v1	1121	300184	267.78234	14	425
chrUn_KI270364v1	2855	1475	0.51664	0	1
chrUn_KI270366v1	8320	17584	2.11346	0	3
chrUn_KI270390v1	2387	9377	3.92836	2	6
chrUn_KI270387v1	1537	2990	1.94535	0	2
chrUn_KI270395v1	1143	3601	3.15048	0	5
chrUn_KI270394v1	970	581	0.59897	0	1
chrUn_KI270391v1	1484	12307	8.29313	2	13
chrUn_KI270393v1	1308	2450	1.87309	1	2
chrUn_KI270384v1	1658	1014	0.61158	0	1
chrUn_KI270392v1	971	1009	1.03913	0	2
chrUn_KI270385v1	990	990	1.00000	1	1
chrUn_KI270382v1	4215	799	0.18956	0	1
chrUn_KI270448v1	7992	210590	26.35010	15	34
chrUn_KI270521v1	7642	180214	23.58205	13	31
chrUn_GL000195v1	182896	11001161	60.14982	0	135
chrUn_GL000219v1	179198	3776577	21.07488	0	118
chrUn_GL000220v1	161802	55790367	344.80641	0	2097
chrUn_GL000224v1	179693	31756407	176.72590	0	2197
chrUn_KI270741v1	157432	277103	1.76014	0	13
chrUn_GL000226v1	15008	12695095	845.88853	193	1113
chrUn_GL000213v1	164239	2608166	15.88031	0	41
chrUn_KI270743v1	210658	7276074	34.53975	0	103
chrUn_KI270744v1	168472	13734060	81.52132	0	645
chrUn_KI270745v1	41891	293329	7.00220	0	19
chrUn_KI270746v1	66486	3710601	55.81026	0	134
chrUn_KI270747v1	198735	7248866	36.47503	0	203
chrUn_KI270748v1	93321	2124673	22.76736	0	46
chrUn_KI270749v1	158759	5462498	34.40749	3	64
chrUn_KI270750v1	148850	7504028	50.41336	0	92
chrUn_KI270751v1	150742	9760055	64.74675	0	150
chrUn_KI270753v1	62944	1621193	25.75612	0	48
chrUn_KI270754v1	40191	2140167	53.24991	0	123
chrUn_KI270755v1	36723	384004	10.45677	0	19
chrUn_KI270756v1	79590	3201852	40.22933	0	97
chrUn_KI270757v1	71251	7272377	102.06702	0	280
chrUn_GL000214v1	137718	9393218	68.20617	0	300
chrUn_KI270742v1	186739	9404727	50.36295	0	155
chrUn_GL000216v2	176608	22074261	124.99015	1	1198
chrUn_GL000218v1	161147	9772718	60.64474	0	100
total	3099634910	84461638227	27.24890	0	56300
