chrom	length	bases	mean	min	max
chr1	248956422	9339869997	37.51608	0	24590
chr2	242193529	6414031375	26.48308	0	486
chr3	198295559	5339368554	26.92631	0	7833
chr4	190214555	7009864916	36.85241	0	21327
chr5	181538259	4440403607	24.45988	0	3684
chr6	170805979	4599250691	26.92675	0	907
chr7	159345973	4426784278	27.78096	0	393
chr8	145138636	4044340943	27.86536	0	839
chr9	138394717	3154085770	22.79051	0	1056
chr10	133797422	4248493789	31.75318	0	1492
chr11	135086622	4711056111	34.87434	0	438
chr12	133275309	4133247261	31.01285	0	529
chr13	114364328	2840602784	24.83819	0	2698
chr14	107043718	1949128997	18.20872	0	649
chr15	101991189	2210635704	21.67477	0	785
chr16	90338345	2875068851	31.82556	0	17332
chr17	83257441	2151217333	25.83814	0	6444
chr18	80373285	2750422375	34.22060	0	485
chr19	58617616	1619467329	27.62766	0	376
chr20	64444167	1943370599	30.15588	0	1103
chr21	46709983	1035975063	22.17888	0	477
chr22	50818468	886856839	17.45147	0	1748
chrX	156040895	3509403916	22.49028	0	301
chrY	57227415	50648599	0.88504	0	1818
chrM	16569	16872875	1018.33997	915	1107
chr1_KI270706v1_random	175055	8004658	45.72653	1	69
chr1_KI270707v1_random	32032	1046642	32.67489	3	56
chr1_KI270708v1_random	127682	3609808	28.27186	2	54
chr1_KI270709v1_random	66860	34037971	509.09319	18	2204
chr1_KI270710v1_random	40176	1271885	31.65783	2	47
chr1_KI270711v1_random	42210	1501480	35.57167	0	56
chr1_KI270712v1_random	176043	8236403	46.78631	0	122
chr1_KI270713v1_random	40745	2089154	51.27387	0	89
chr1_KI270714v1_random	41717	1166815	27.96977	2	49
chr2_KI270715v1_random	161471	7825518	48.46392	4	172
chr2_KI270716v1_random	153799	2970412	19.31360	2	49
chr3_GL000221v1_random	155397	8423567	54.20675	0	142
chr4_GL000008v2_random	209709	14802469	70.58576	2	718
chr5_GL000208v1_random	92689	5138691	55.44014	15	87
chr9_KI270717v1_random	40062	61828	1.54331	0	5
chr9_KI270718v1_random	38054	1728862	45.43181	0	106
chr9_KI270719v1_random	176845	6174204	34.91308	0	88
chr9_KI270720v1_random	39050	1513823	38.76627	5	61
chr11_KI270721v1_random	100316	1002052	9.98895	0	21
chr14_GL000009v2_random	201709	11219700	55.62320	0	128
chr14_GL000225v1_random	211173	74692051	353.70076	0	1130
chr14_KI270722v1_random	194050	8132260	41.90806	1	79
chr14_GL000194v1_random	191469	15181808	79.29121	9	122
