chrom	length	bases	mean	min	max
chr1	248956422	7391916016	29.69161	0	26251
chr2	242193529	6225074975	25.70290	0	626
chr3	198295559	5920738747	29.85815	0	12599
chr4	190214555	5306917259	27.89964	0	39437
chr5	181538259	4725821808	26.03210	0	4194
chr6	170805979	4121871931	24.13189	0	769
chr7	159345973	4712944932	29.57681	0	406
chr8	145138636	3244164159	22.35217	0	802
chr9	138394717	2884207891	20.84045	0	1273
chr10	133797422	3437016014	25.68821	0	1609
chr11	135086622	3437081861	25.44354	0	267
chr12	133275309	3173192243	23.80930	0	415
chr13	114364328	1855227033	16.22208	0	1175
chr14	107043718	1153982435	10.78048	0	2646
chr15	101991189	2182191046	21.39588	0	1382
chr16	90338345	1925413465	21.31336	0	13229
chr17	83257441	1952694774	23.45370	0	914
chr18	80373285	2047702056	25.47740	0	389
chr19	58617616	1317698409	22.47956	0	481
chr20	64444167	1575265383	24.44388	0	1581
chr21	46709983	1247701041	26.71166	0	1129
chr22	50818468	866369236	17.04831	0	1400
chrX	156040895	3063210538	19.63082	0	476
chrY	57227415	38612806	0.67473	0	1464
chrM	16569	9564956	577.28022	525	612
chr1_KI270706v1_random	175055	4562732	26.06456	1	47
chr1_KI270707v1_random	32032	423515	13.22162	1	22
chr1_KI270708v1_random	127682	1937696	15.17595	1	30
chr1_KI270709v1_random	66860	17216531	257.50121	11	1075
chr1_KI270710v1_random	40176	1137197	28.30538	1	48
chr1_KI270711v1_random	42210	2591201	61.38832	2	103
chr1_KI270712v1_random	176043	3531061	20.05795	0	70
chr1_KI270713v1_random	40745	1317467	32.33445	1	75
chr1_KI270714v1_random	41717	445954	10.68998	1	27
chr2_KI270715v1_random	161471	4367868	27.05048	2	68
chr2_KI270716v1_random	153799	3797666	24.69240	0	111
chr3_GL000221v1_random	155397	8376231	53.90214	0	105
chr4_GL000008v2_random	209709	11766724	56.10977	0	643
chr5_GL000208v1_random	92689	3551235	38.31345	8	57
chr9_KI270717v1_random	40062	693228	17.30388	0	32
chr9_KI270718v1_random	38054	1832818	48.16361	0	85
chr9_KI270719v1_random	176845	3879618	21.93796	0	56
chr9_KI270720v1_random	39050	1589019	40.69191	3	67
chr11_KI270721v1_random	100316	458499	4.57055	0	11
chr14_GL000009v2_random	201709	13155139	65.21840	0	149
chr14_GL000225v1_random	211173	68369102	323.75873	0	1358
chr14_KI270722v1_random	194050	7664536	39.49774	0	87
chr14_GL000194v1_random	191469	6803470	35.53301	2	77
chr14_KI270723v1_random	38115	1566585	41.10153	2	77
chr14_KI270724v1_random	39555	1025268	25.92006	8	76
chr14_KI270725v1_random	172810	1973592	11.42059	0	48
chr15_KI270727v1_random	448248	7330484	16.35363	0	89
chr16_KI270728v1_random	1872759	31460573	16.79905	0	81
chr17_GL000205v2_random	185591	11216296	60.43556	3	119
chr17_KI270729v1_random	280839	12236694	43.57192	0	1063
chr17_KI270730v1_random	112551	3472079	30.84894	0	174
chr22_KI270731v1_random	150754	3499895	23.21593	0	78
chr22_KI270732v1_random	41543	2742124	66.00688	8	95
chr22_KI270733v1_random	179772	20176919	112.23616	1	510
chr22_KI270734v1_random	165050	7589620	45.98376	0	1157
chr22_KI270735v1_random	42811	2586938	60.42695	15	86
chr22_KI270736v1_random	181920	17698335	97.28636	0	377
chr22_KI270737v1_random	103838	1466775	14.12561	0	35
chr22_KI270738v1_random	99375	2790191	28.07739	0	95
chr22_KI270739v1_random	73985	682769	9.22848	0	22
chrUn_KI270303v1	1942	2904	1.49537	0	2
chrUn_KI270320v1	4416	2624	0.59420	0	1
chrUn_KI270310v1	1201	12147	10.11407	5	14
chrUn_KI270316v1	1444	945	0.65443	0	1
chrUn_KI270315v1	2276	3983	1.75000	1	2
chrUn_KI270311v1	12399	6064	0.48907	0	3
chrUn_KI270317v1	37690	6684	0.17734	0	5
chrUn_KI270411v1	2646	15970	6.03553	0	9
chrUn_KI270419v1	1029	4025	3.91156	0	5
chrUn_KI270418v1	2145	4898	2.28345	0	4
chrUn_KI270422v1	1445	3664	2.53564	0	3
chrUn_KI270423v1	981	2862	2.91743	0	4
chrUn_KI270429v1	1361	2623	1.92726	0	3
chrUn_KI270442v1	392061	18074977	46.10246	0	124
chrUn_KI270466v1	1233	810277	657.15896	112	1168
chrUn_KI270465v1	1774	5662	3.19166	2	4
chrUn_KI270467v1	3920	151092697	38544.05536	33	55054
chrUn_KI270435v1	92983	3068056	32.99588	14	120
chrUn_KI270438v1	112505	48850803	434.21006	0	4339
chrUn_KI270468v1	4055	128298	31.63946	27	35
chrUn_KI270510v1	2415	39944	16.53996	14	19
chrUn_KI270509v1	2318	1179	0.50863	0	1
chrUn_KI270518v1	2186	5041	2.30604	0	5
chrUn_KI270508v1	1951	4464	2.28806	1	5
chrUn_KI270516v1	1300	13400	10.30769	3	16
chrUn_KI270512v1	22689	440984	19.43603	0	42
chrUn_KI270519v1	138126	4545141	32.90576	0	108
chrUn_KI270522v1	5674	72658	12.80543	0	18
chrUn_KI270511v1	8127	256183	31.52246	0	34
chrUn_KI270515v1	6361	207538	32.62663	24	41
chrUn_KI270507v1	5353	44280	8.27200	7	10
chrUn_KI270517v1	3253	34249	10.52844	5	12
chrUn_KI270529v1	1899	9224	4.85729	1	9
chrUn_KI270528v1	2983	8155	2.73383	0	19
chrUn_KI270530v1	2168	1816	0.83764	0	1
chrUn_KI270539v1	993	188	0.18933	0	1
chrUn_KI270538v1	91309	5703619	62.46503	0	444
chrUn_KI270587v1	2969	57072	19.22263	8	29
chrUn_KI270579v1	31033	217596	7.01176	0	16
chrUn_KI270589v1	44474	686221	15.42971	0	157
chrUn_KI270590v1	4685	204899	43.73511	0	51
chrUn_KI270584v1	4513	25486	5.64724	0	9
chrUn_KI270582v1	6504	4015	0.61731	0	1
chrUn_KI270588v1	6158	33380	5.42059	0	12
chrUn_KI270591v1	5796	223681	38.59231	13	59
chrUn_KI270330v1	1652	936	0.56659	0	2
chrUn_KI270334v1	1368	543	0.39693	0	1
chrUn_KI270333v1	2699	27722247	10271.30308	172	11626
chrUn_KI270335v1	1048	1056	1.00763	0	2
chrUn_KI270336v1	1026	96118	93.68226	14	135
chrUn_KI270337v1	1121	335461	299.25156	1	458
chrUn_KI270366v1	8320	5525	0.66406	0	1
chrUn_KI270390v1	2387	6598	2.76414	0	6
chrUn_KI270395v1	1143	492	0.43045	0	1
chrUn_KI270396v1	1880	1227	0.65266	0	1
chrUn_KI270386v1	1788	723	0.40436	0	1
chrUn_KI270391v1	1484	3986	2.68598	2	3
chrUn_KI270383v1	1750	128	0.07314	0	1
chrUn_KI270393v1	1308	921	0.70413	0	1
chrUn_KI270385v1	990	1910	1.92929	1	2
chrUn_KI270376v1	1136	766	0.67430	0	1
