depth	notinrefseq_cds	refseq_cds	gc15_slop50	gc15to20_slop50	gc20to25_slop50	gc25to30_slop50	gc30to55_slop50	gc55to60_slop50	gc60to65_slop50	gc65to70_slop50	gc70to75_slop50	gc75to80_slop50	gc80to85_slop50	gc85_slop50	gclt25orgt65_slop50	gclt30orgt55_slop50	AllHomopolymers_ge7bp_imperfectge11bp_slop5	AllTandemRepeats	AllTandemRepeats_201to10000bp_slop5	AllTandemRepeats_51to200bp_slop5	AllTandemRepeats_ge10001bp_slop5	AllTandemRepeats_ge101bp_slop5	AllTandemRepeats_le50bp_slop5	AllTandemRepeatsandHomopolymers_slop5	SimpleRepeat_diTR_10to49_slop5	SimpleRepeat_diTR_50to149_slop5	SimpleRepeat_diTR_ge150_slop5	SimpleRepeat_homopolymer_4to6_AT_slop5	SimpleRepeat_homopolymer_4to6_GC_slop5	SimpleRepeat_homopolymer_4to6_slop5	SimpleRepeat_homopolymer_7to11_AT_slop5	SimpleRepeat_homopolymer_7to11_GC_slop5	SimpleRepeat_homopolymer_7to11_slop5	SimpleRepeat_homopolymer_ge12_AT_slop5	SimpleRepeat_homopolymer_ge12_GC_slop5	SimpleRepeat_homopolymer_ge12_slop5	SimpleRepeat_homopolymer_ge21_AT_slop5	SimpleRepeat_homopolymer_ge21_GC_slop5	SimpleRepeat_homopolymer_ge21_slop5	SimpleRepeat_imperfecthomopolge11_AT_slop5	SimpleRepeat_imperfecthomopolge11_GC_slop5	SimpleRepeat_imperfecthomopolge11_slop5	SimpleRepeat_imperfecthomopolge21_AT_slop5	SimpleRepeat_imperfecthomopolge21_GC_slop5	SimpleRepeat_imperfecthomopolge21_slop5	SimpleRepeat_quadTR_19to49_slop5	SimpleRepeat_quadTR_50to149_slop5	SimpleRepeat_quadTR_ge150_slop5	SimpleRepeat_triTR_14to49_slop5	SimpleRepeat_triTR_50to149_slop5	SimpleRepeat_triTR_ge150_slop5	notinAllHomopolymers_ge7bp_imperfectge11bp_slop5	notinAllTandemRepeatsandHomopolymers_slop5	notinallTandemRepeats	notinsatellites_slop5	satellites_slop5	lowmappabilityall	nonunique_l100_m2_e1	nonunique_l250_m0_e0	notinlowmappabilityall	KIR	L1H_gt500	LD_discordant_haplotypes_slop5bp	MHC	VDJ	allOtherDifficultregions	collapsed_duplication_FP_regions	contigs_lt500kb	false_duplications_correct_copy	false_duplications_incorrect_copy	gaps_slop15kb	gnomAD_InbreedingCoeff_slop1bp_merge1000bp	population_CNV_FP_regions	notinsegdups	notinsegdups_gt10kb	segdups	segdups_gt10kb	alldifficultregions	alllowmapandsegdupregions	notinalldifficultregions	notinalllowmapandsegdupregions	AllAutosomes	chrX_PAR	chrX_XTR	chrX_ampliconic	chrX_nonPAR	chrY_PAR	chrY_XTR	chrY_ampliconic	chrY_nonPAR
0	166464290.0	1061907.0	737055.0	529208.0	3525096.0	11389766.0	134886296.0	7865093.0	4792764.0	2536701.0	789659.0	348466.0	375455.0	51528.0	8882700.0	32639901.0	2968166.0	70901021	6066662.0	1025936.0	62972536.0	69487071	835887.0	73869187	646284.0	34686.0	1168.0	32930383.0	7803537.0	40049188.0	1710476.0	132564.0	1841203.0	529581.0	6002.0	535533.0	185401.0	279.0	185680.0	1258056.0	193303.0	1450988.0	342089.0	13335.0	355424.0	128218.0	25823.0	1303.0	102223.0	5144.0	1719.0	164558031	93657010.0	96625176.0	104116657.0	63409540.0	148799662.0	148784544.0	85837031.0	18726535.0	5189.0	2527010.0	92124.0	179322.0	1618965.0	43319216.0	2781253.0	16848407.0	207177.0	972396.0	7088342.0	4758398.0	5191738.0	93313410.0	94954131.0	74212787.0	72572066.0	156857202.0	152181643.0	10668995.0	15344554.0	132852022.0	244210.0	1211922.0	935894.0	10903984.0	2778692.0	3394016.0	9747247.0	23525981.0
1	15192063.0	133464.0	257383.0	93120.0	408768.0	1322605.0	10578221.0	1025951.0	745603.0	514052.0	180720.0	113607.0	129129.0	26812.0	1719289.0	4747306.0	562432.0	2075533	1146188.0	243957.0	533361.0	1791044	152027.0	2637965	246562.0	27689.0	19.0	3015272.0	1177347.0	4103604.0	212140.0	37178.0	249033.0	197821.0	3422.0	201212.0	94887.0	270.0	95157.0	287914.0	77793.0	365512.0	122765.0	9874.0	132638.0	35346.0	13167.0	348.0	22285.0	1612.0	172.0	14763095	12687562.0	13249994.0	14776114.0	549413.0	8828854.0	8827892.0	638305.0	6496673.0	2005.0	125757.0	36524.0	22690.0	100752.0	1441796.0	265357.0	492692.0	8178.0	0.0	194124.0	493099.0	364813.0	10994153.0	11232468.0	4331374.0	4093059.0	10766535.0	9198588.0	4558992.0	6126939.0	10233947.0	82752.0	489059.0	27427.0	4980712.0	0.0	4805.0	3244.0	28116.0
2	24335111.0	258783.0	247723.0	142067.0	740651.0	2571722.0	16896919.0	1849627.0	1042278.0	583773.0	266526.0	177274.0	147273.0	41111.0	2341998.0	7696975.0	899248.0	2148366	1184338.0	378232.0	324314.0	1681731	261482.0	3047614	318497.0	26429.0	31.0	4917212.0	1837284.0	6601079.0	367865.0	40127.0	407454.0	318335.0	4243.0	322534.0	149962.0	248.0	150210.0	483676.0	95735.0	579141.0	199225.0	11066.0	210289.0	55334.0	21159.0	379.0	37602.0	2107.0	66.0	23694646	21546280.0	22445528.0	24237178.0	356716.0	7987797.0	7986893.0	436595.0	16606097.0	2684.0	90988.0	63847.0	28512.0	122592.0	1314946.0	255849.0	447815.0	8249.0	0.0	175681.0	431485.0	320688.0	20415647.0	20704922.0	4178247.0	3888972.0	11670497.0	8668298.0	12923397.0	15925596.0	13682115.0	171110.0	513115.0	51183.0	10728502.0	0.0	958.0	1492.0	12167.0
3	40707529.0	485443.0	257923.0	217995.0	1345318.0	4768280.0	28130127.0	3281045.0	1643126.0	783867.0	410453.0	284367.0	193686.0	56431.0	3544884.0	13062845.0	1441317.0	2695994	1365198.0	567394.0	318080.0	1936663	445322.0	4137311	414001.0	24201.0	33.0	8356950.0	2997593.0	11096283.0	644964.0	49853.0	693959.0	480210.0	5047.0	485196.0	216981.0	217.0	217198.0	779647.0	116032.0	895295.0	302396.0	11730.0	314122.0	86408.0	29354.0	285.0	60255.0	3318.0	58.0	39751655	37055661.0	38496978.0	40826373.0	366599.0	7725841.0	7725384.0	344255.0	33467131.0	3154.0	76211.0	104655.0	45419.0	148563.0	1350594.0	265447.0	443860.0	8716.0	0.0	182170.0	407728.0	296477.0	36829659.0	37203735.0	4363313.0	3989237.0	14155470.0	8851741.0	27037502.0	32341231.0	23281746.0	286287.0	505787.0	79246.0	17617300.0	0.0	479.0	765.0	7639.0
4	64650666.0	810507.0	274244.0	324567.0	2236678.0	7923581.0	44464272.0	5469099.0	2570104.0	1138946.0	609844.0	409872.0	236939.0	67295.0	5293208.0	20996901.0	2177040.0	3526135	1635753.0	820462.0	369175.0	2366318	700745.0	5703175	539751.0	24220.0	12.0	13329800.0	4690291.0	17606628.0	1039005.0	63615.0	1100951.0	683384.0	5864.0	689171.0	292379.0	165.0	292544.0	1170048.0	138109.0	1307639.0	428056.0	12197.0	440246.0	128792.0	40944.0	241.0	89374.0	3989.0	109.0	63284133	59757998.0	61935038.0	65020521.0	440652.0	7674493.0	7673642.0	268207.0	57786680.0	4174.0	66452.0	191294.0	72721.0	183015.0	1523278.0	269920.0	479630.0	11181.0	0.0	203261.0	402263.0	294608.0	60688271.0	61178551.0	4772902.0	4282622.0	17832900.0	9359816.0	47628273.0	56101357.0	42394205.0	374154.0	471470.0	100236.0	22688451.0	0.0	238.0	347.0	4363.0
5	96990656.0	1230609.0	294072.0	471743.0	3512247.0	12282722.0	66370274.0	8456539.0	3875723.0	1622599.0	846678.0	523207.0	274021.0	70182.0	7609268.0	31850991.0	3132345.0	4587784	1948344.0	1139693.0	450049.0	2886480	1049698.0	7720129	691611.0	23219.0	0.0	20124036.0	6926950.0	26434091.0	1570881.0	83384.0	1651986.0	927650.0	6089.0	933646.0	368714.0	185.0	368899.0	1672442.0	156277.0	1827939.0	573245.0	11043.0	584286.0	178960.0	47685.0	247.0	126124.0	5081.0	45.0	95088920	90501136.0	93633481.0	97657255.0	564010.0	7687640.0	7687064.0	223465.0	90533625.0	5308.0	58013.0	326645.0	123969.0	204611.0	1795595.0	286678.0	525690.0	15935.0	0.0	226494.0	418871.0	299827.0	92886820.0	93512012.0	5334445.0	4709253.0	22584029.0	10038061.0	75637236.0	88183204.0	74055164.0	409845.0	383849.0	102943.0	23752680.0	0.0	158.0	358.0	3576.0
6	138132600.0	1731605.0	318341.0	663269.0	5206279.0	17934890.0	94328641.0	12245348.0	5503030.0	2185016.0	1054632.0	597811.0	277416.0	64785.0	10361221.0	45535564.0	4317736.0	5832451	2284091.0	1506833.0	555710.0	3468973	1485817.0	10150187	880682.0	23292.0	31.0	28783614.0	9699098.0	37605088.0	2254945.0	104479.0	2356274.0	1198059.0	6990.0	1204935.0	435438.0	164.0	435602.0	2277404.0	178578.0	2454992.0	721851.0	10752.0	732593.0	237457.0	54138.0	262.0	168325.0	4869.0	33.0	135546469	129714018.0	134031754.0	139159073.0	705132.0	7696700.0	7695707.0	184224.0	132167505.0	7497.0	55141.0	513050.0	190083.0	219647.0	2148772.0	292537.0	572557.0	22805.0	0.0	260283.0	428233.0	305185.0	133927452.0	134704705.0	5936753.0	5159500.0	28175741.0	10768594.0	111688464.0	129095611.0	118474707.0	378609.0	285899.0	93528.0	21008258.0	0.0	220.0	259.0	2631.0
7	185406187.0	2294423.0	338941.0	901945.0	7249881.0	24676920.0	126519777.0	16516160.0	7293752.0	2753717.0	1201038.0	605880.0	255274.0	53077.0	13353662.0	61180833.0	5642506.0	7147331	2617611.0	1888481.0	674974.0	4060290	1966265.0	12789837	1058738.0	23863.0	0.0	38919747.0	12770722.0	50510270.0	3058736.0	127068.0	3181841.0	1456400.0	7284.0	1463611.0	482949.0	152.0	483101.0	2928389.0	193018.0	3120409.0	863144.0	10064.0	873201.0	296752.0	58882.0	183.0	214268.0	5297.0	71.0	182058104	174910773.0	180553279.0	186836135.0	864475.0	7667586.0	7666596.0	160164.0	180033024.0	9191.0	54132.0	723256.0	272274.0	219750.0	2556123.0	303464.0	630578.0	32851.0	0.0	290305.0	448830.0	317361.0	181059134.0	182000049.0	6641476.0	5700561.0	34211595.0	11512138.0	153489015.0	176188472.0	171300195.0	303791.0	192013.0	69241.0	16094444.0	0.0	0.0	230.0	2180.0
8	232016039.0	2820576.0	357321.0	1131891.0	9326756.0	31563738.0	158520706.0	20595267.0	8904323.0	3177544.0	1251352.0	563129.0	217602.0	39187.0	16059122.0	76315909.0	6914056.0	8320408	2886211.0	2229912.0	782336.0	4556785	2421949.0	15234464	1206821.0	22247.0	0.0	49095679.0	15664413.0	63288898.0	3856442.0	147667.0	3999090.0	1667657.0	6652.0	1674233.0	503017.0	158.0	503175.0	3537813.0	206800.0	3743565.0	974042.0	8651.0	982688.0	356421.0	59916.0	104.0	257506.0	5175.0	43.0	227922559	219602151.0	226516207.0	233833757.0	1002858.0	7492496.0	7491526.0	136163.0	227344119.0	10688.0	47910.0	926887.0	363931.0	224928.0	2924622.0	307387.0	664826.0	44248.0	0.0	319018.0	458365.0	324803.0	227632230.0	228720786.0	7204385.0	6115829.0	39619998.0	12029356.0	195216617.0	222807259.0	223714451.0	218134.0	115704.0	48181.0	10902049.0	0.0	0.0	85.0	1981.0
9	268794599.0	3221263.0	361891.0	1325012.0	11080532.0	37305501.0	183985151.0	23669474.0	9968479.0	3385405.0	1186298.0	478039.0	166654.0	28535.0	18007612.0	88030711.0	7899617.0	9118907	3027688.0	2444273.0	867342.0	4842595	2779604.0	17018524	1305088.0	18910.0	0.0	57319914.0	17832191.0	73449591.0	4511698.0	160336.0	4666714.0	1787439.0	6072.0	1793427.0	490402.0	111.0	490513.0	3988442.0	209573.0	4197005.0	1032560.0	6886.0	1039439.0	398094.0	58314.0	37.0	281962.0	4569.0	20.0	264116245	254997338.0	262896955.0	270916998.0	1098864.0	7097328.0	7096194.0	123229.0	264918534.0	12537.0	41933.0	1104727.0	452976.0	230169.0	3237272.0	297782.0	681491.0	54734.0	0.0	340902.0	456651.0	330292.0	264450874.0	265667587.0	7564988.0	6348275.0	43361550.0	12161762.0	228654312.0	259854100.0	265281288.0	141331.0	62573.0	28490.0	6591776.0	0.0	0.0	14.0	1467.0
