depth	G4	notinrefseq_cds	refseq_cds	gc15_slop50	gc15to20_slop50	gc20to25_slop50	gc25to30_slop50	gc30to55_slop50	gc55to60_slop50	gc60to65_slop50	gc65to70_slop50	gc70to75_slop50	gc75to80_slop50	gc80to85_slop50	gc85_slop50	gclt25orgt65_slop50	gclt30orgt55_slop50	AllHomopolymers_ge7bp_imperfectge11bp_slop5	AllTandemRepeats	AllTandemRepeats_201to10000bp_slop5	AllTandemRepeats_51to200bp_slop5	AllTandemRepeats_ge10001bp_slop5	AllTandemRepeats_ge101bp_slop5	AllTandemRepeats_le50bp_slop5	AllTandemRepeatsandHomopolymers_slop5	SimpleRepeat_diTR_10to49_slop5	SimpleRepeat_diTR_50to149_slop5	SimpleRepeat_diTR_ge150_slop5	SimpleRepeat_homopolymer_4to6_AT_slop5	SimpleRepeat_homopolymer_4to6_GC_slop5	SimpleRepeat_homopolymer_4to6_slop5	SimpleRepeat_homopolymer_7to11_AT_slop5	SimpleRepeat_homopolymer_7to11_GC_slop5	SimpleRepeat_homopolymer_7to11_slop5	SimpleRepeat_homopolymer_ge12_AT_slop5	SimpleRepeat_homopolymer_ge12_GC_slop5	SimpleRepeat_homopolymer_ge12_slop5	SimpleRepeat_homopolymer_ge21_AT_slop5	SimpleRepeat_homopolymer_ge21_GC_slop5	SimpleRepeat_homopolymer_ge21_slop5	SimpleRepeat_imperfecthomopolge11_AT_slop5	SimpleRepeat_imperfecthomopolge11_GC_slop5	SimpleRepeat_imperfecthomopolge11_slop5	SimpleRepeat_imperfecthomopolge21_AT_slop5	SimpleRepeat_imperfecthomopolge21_GC_slop5	SimpleRepeat_imperfecthomopolge21_slop5	SimpleRepeat_quadTR_19to49_slop5	SimpleRepeat_quadTR_50to149_slop5	SimpleRepeat_quadTR_ge150_slop5	SimpleRepeat_triTR_14to49_slop5	SimpleRepeat_triTR_50to149_slop5	SimpleRepeat_triTR_ge150_slop5	notinAllHomopolymers_ge7bp_imperfectge11bp_slop5	notinAllTandemRepeatsandHomopolymers_slop5	notinallTandemRepeats	notinsatellites_slop5	satellites_slop5	lowmappabilityall	nonunique_l100_m2_e1	nonunique_l250_m0_e0	notinlowmappabilityall	KIR	L1H_gt500	LD_discordant_haplotypes_slop5bp	MHC	VDJ	allOtherDifficultregions	collapsed_duplication_FP_regions	contigs_lt500kb	false_duplications_correct_copy	false_duplications_incorrect_copy	gaps_slop15kb	gnomAD_InbreedingCoeff_slop1bp_merge1000bp	population_CNV_FP_regions	notinsegdups	notinsegdups_gt10kb	segdups	segdups_gt10kb	alldifficultregions	alllowmapandsegdupregions	notinalldifficultregions	notinalllowmapandsegdupregions	AllAutosomes	chrX_PAR	chrX_XTR	chrX_ampliconic	chrX_nonPAR	chrY_PAR	chrY_XTR	chrY_ampliconic	chrY_nonPAR
0	2959997.0	168527838.0	1072031.0	756252.0	572695.0	3577783.0	11468177.0	136192411.0	8076455.0	5009147.0	2640112.0	906250.0	359447.0	288633.0	42122.0	9134558.0	33407458.0	3163133.0	71768285	6815585.0	1127500.0	62984582.0	70342787	840618.0	74931418	631504.0	13691.0	907.0	33154597.0	8576306.0	41023688.0	1725076.0	160005.0	1883030.0	522090.0	8174.0	530207.0	174202.0	363.0	174565.0	1257588.0	364107.0	1621226.0	333220.0	32235.0	365445.0	193926.0	49328.0	1688.0	128593.0	7978.0	1812.0	166436736	94668451.0	97831584.0	106164420.0	63435449.0	149283938.0	149268261.0	85844919.0	20315931.0	4631.0	2537518.0	98200.0	184353.0	1607479.0	43399584.0	2792901.0	16868053.0	207280.0	972396.0	7103295.0	4790161.0	5192315.0	95319839.0	96945326.0	74280030.0	72654543.0	158475196.0	152733934.0	11124673.0	16865935.0	134453800.0	258710.0	1239610.0	937085.0	11357750.0	2778692.0	3394653.0	9747421.0	23529609.0
1	949010.0	18383396.0	124558.0	280285.0	129627.0	526271.0	1685875.0	13023359.0	1224274.0	860723.0	516208.0	166438.0	74666.0	70046.0	11933.0	1772325.0	5484595.0	750616.0	2541223	1474244.0	383538.0	511352.0	2212028	172089.0	3291839	230095.0	12162.0	125.0	3607207.0	1750114.0	5235531.0	254584.0	60405.0	314115.0	189815.0	6103.0	195872.0	79318.0	218.0	79536.0	304158.0	206842.0	510565.0	111746.0	21085.0	132815.0	100293.0	47846.0	628.0	41325.0	4512.0	187.0	17757338	15216115.0	15966731.0	17964672.0	543282.0	9292485.0	9291497.0	636520.0	9215469.0	1725.0	127021.0	47222.0	26712.0	127289.0	1514978.0	277467.0	506673.0	8822.0	0.0	200239.0	521758.0	364796.0	14033418.0	14271144.0	4474536.0	4236810.0	12097411.0	9746758.0	6410543.0	8761196.0	12400853.0	91628.0	520879.0	31199.0	5987142.0	0.0	4235.0	3036.0	28331.0
2	1056530.0	29365430.0	228771.0	263548.0	188062.0	994116.0	3382528.0	20849558.0	1992254.0	1115858.0	553911.0	189560.0	87418.0	68307.0	12334.0	2353328.0	8744643.0	1095431.0	2567001	1390553.0	539941.0	334399.0	2018753	302108.0	3662432	312423.0	15642.0	75.0	6105069.0	2404089.0	8309179.0	462762.0	66779.0	527876.0	282919.0	7289.0	290142.0	117761.0	225.0	117986.0	494264.0	192291.0	685995.0	174100.0	16882.0	190971.0	120969.0	60283.0	472.0	53929.0	4921.0	102.0	28498770	25931769.0	27027200.0	29227158.0	367043.0	8437253.0	8436313.0	436773.0	21156948.0	2905.0	93560.0	76951.0	36908.0	126399.0	1375573.0	268359.0	458564.0	9358.0	0.0	186508.0	453930.0	313135.0	25258859.0	25559605.0	4335342.0	4034596.0	12957964.0	9214763.0	16636237.0	20379438.0	17118611.0	165237.0	540958.0	56903.0	12300153.0	0.0	1320.0	1185.0	10200.0
3	1265883.0	48213042.0	409254.0	281948.0	293061.0	1833196.0	6252094.0	34144182.0	3289183.0	1585237.0	669010.0	233041.0	112070.0	77670.0	15036.0	3510834.0	14478114.0	1651823.0	3062633	1470161.0	743629.0	333785.0	2176080	515058.0	4714456	433274.0	22065.0	5.0	10339731.0	3526847.0	13540617.0	796023.0	80134.0	873696.0	418848.0	7714.0	426435.0	161433.0	295.0	161728.0	783486.0	179074.0	961543.0	256392.0	12525.0	268909.0	146807.0	65469.0	325.0	73934.0	5324.0	84.0	46970473	43907840.0	45559663.0	48243662.0	378634.0	8090289.0	8089695.0	338759.0	40532007.0	3496.0	77202.0	136327.0	53996.0	153458.0	1434942.0	274159.0	463254.0	9041.0	0.0	197834.0	422501.0	302312.0	44096703.0	44495656.0	4525593.0	4126640.0	15313533.0	9321225.0	33308763.0	39301071.0	29244422.0	262633.0	513931.0	83798.0	19107711.0	0.0	611.0	1033.0	7530.0
4	1539161.0	75162034.0	679904.0	305180.0	451159.0	3064795.0	10409156.0	52960666.0	5186619.0	2301257.0	834226.0	305018.0	152991.0	95772.0	21223.0	5225494.0	22881272.0	2440865.0	3807776	1599401.0	1008284.0	388409.0	2455814	811682.0	6248641	591788.0	25929.0	60.0	16426356.0	5101452.0	21026500.0	1277484.0	93742.0	1368038.0	590921.0	8262.0	599068.0	210924.0	333.0	211257.0	1176190.0	175916.0	1351072.0	356463.0	10409.0	366864.0	170082.0	63524.0	129.0	100934.0	4717.0	33.0	73401073	69593297.0	72034162.0	75387071.0	454867.0	7934483.0	7933963.0	268556.0	67907455.0	4977.0	70357.0	244224.0	86888.0	184893.0	1641504.0	282420.0	501753.0	11889.0	0.0	217218.0	419505.0	303835.0	70882945.0	71403106.0	4958993.0	4438832.0	18832668.0	9748758.0	57009270.0	66093180.0	52010513.0	347761.0	464328.0	104051.0	23478896.0	0.0	55.0	433.0	4768.0
5	1896764.0	110801428.0	1036061.0	338324.0	661983.0	4773781.0	15999049.0	77580293.0	7748550.0	3253425.0	1077461.0	405407.0	206480.0	119465.0	28713.0	7605954.0	34257196.0	3457156.0	4794993	1797276.0	1332420.0	472073.0	2854194	1193224.0	8252149	774492.0	28291.0	30.0	24469758.0	7205478.0	30946943.0	1898041.0	108930.0	2002835.0	812630.0	7579.0	820130.0	272850.0	259.0	273109.0	1688545.0	168584.0	1856001.0	485770.0	8037.0	493801.0	208936.0	61726.0	195.0	134208.0	5075.0	46.0	108380333	103585340.0	107042496.0	111267166.0	570323.0	7836013.0	7835461.0	218911.0	104001476.0	5983.0	62827.0	406234.0	133066.0	205412.0	1919573.0	295531.0	540401.0	15224.0	0.0	240726.0	420824.0	311728.0	106327966.0	106991026.0	5509523.0	4846463.0	23497962.0	10318121.0	88339527.0	101519368.0	87856348.0	394282.0	373684.0	101867.0	23583367.0	0.0	0.0	372.0	3492.0
6	2311963.0	154325655.0	1502402.0	364981.0	897634.0	6888548.0	22857798.0	107547055.0	10934993.0	4451970.0	1391158.0	529838.0	268260.0	147984.0	37230.0	10519619.0	48281002.0	4684403.0	5934794	2013166.0	1683163.0	585079.0	3297358	1653386.0	10619197	964969.0	28598.0	25.0	34284741.0	9741751.0	43027964.0	2654221.0	124692.0	2774275.0	1058751.0	7171.0	1065820.0	333948.0	207.0	334155.0	2292380.0	165882.0	2457140.0	626387.0	6269.0	632650.0	255711.0	57192.0	138.0	170112.0	4681.0	5.0	151143654	145208860.0	149893263.0	155107353.0	720704.0	7740463.0	7739601.0	181217.0	148087594.0	7350.0	56892.0	610189.0	201718.0	218915.0	2276411.0	299322.0	589439.0	21025.0	0.0	268832.0	430409.0	318993.0	149701414.0	150515101.0	6126643.0	5312956.0	29028238.0	10940971.0	126799819.0	144887086.0	135312789.0	376540.0	267529.0	88843.0	20136479.0	0.0	0.0	271.0	2249.0
7	2734969.0	201688128.0	2035174.0	388162.0	1153602.0	9166926.0	30237268.0	139991959.0	14616881.0	5827393.0	1760499.0	661449.0	332820.0	178417.0	46477.0	13682433.0	63731343.0	6015183.0	7104505	2250214.0	2015786.0	704989.0	3757498	2133516.0	13119688	1143054.0	28494.0	6.0	44908160.0	12534974.0	56148668.0	3476519.0	138238.0	3609638.0	1327373.0	6508.0	1333816.0	400888.0	91.0	400979.0	2952234.0	162369.0	3113665.0	784628.0	4697.0	789325.0	297680.0	51045.0	11.0	210131.0	3803.0	8.0	197708119	190603614.0	196618797.0	202855132.0	868170.0	7589072.0	7588012.0	154826.0	196134230.0	9475.0	49764.0	842583.0	287217.0	229799.0	2681398.0	308957.0	638426.0	28547.0	0.0	293261.0	442056.0	323883.0	196982226.0	197940821.0	6741076.0	5782481.0	34873449.0	11527386.0	168849853.0	192195916.0	188498981.0	313565.0	168865.0	65652.0	14909156.0	0.0	0.0	113.0	1600.0
8	3127332.0	244887123.0	2550188.0	393933.0	1356237.0	11141507.0	36786433.0	169507730.0	18282661.0	7185781.0	2132084.0	793110.0	388067.0	198757.0	51519.0	16449571.0	77929581.0	7201856.0	8140681	2469140.0	2298232.0	808066.0	4159089	2565243.0	15342537	1292168.0	25994.0	21.0	54418407.0	15094938.0	67951247.0	4209060.0	144304.0	4347989.0	1568282.0	5418.0	1573652.0	448242.0	94.0	448336.0	3550739.0	155095.0	3704864.0	915963.0	3553.0	919516.0	334729.0	42326.0	56.0	249542.0	3884.0	38.0	240235455	232094774.0	239296630.0	246436183.0	1001128.0	7293782.0	7292729.0	133901.0	240143529.0	11797.0	44327.0	1046071.0	373654.0	236545.0	3039182.0	306932.0	671858.0	38453.0	0.0	315786.0	447024.0	330401.0	240187294.0	241288492.0	7250017.0	6148819.0	39930924.0	11889502.0	207506387.0	235547809.0	237444336.0	226912.0	100518.0	41972.0	9764278.0	0.0	0.0	132.0	1785.0
9	3380495.0	274979277.0	3004078.0	381862.0	1470624.0	12376480.0	41080231.0	189865031.0	21317519.0	8324937.0	2464144.0	896323.0	439995.0	207498.0	49583.0	18281285.0	88118324.0	8017880.0	8753158	2585188.0	2435732.0	877833.0	4369493	2854405.0	16771038	1349387.0	25236.0	6.0	60835386.0	16948512.0	76045894.0	4714039.0	144509.0	4853138.0	1719713.0	4415.0	1724078.0	471999.0	60.0	472059.0	3978961.0	148368.0	4126368.0	1006141.0	2579.0	1008720.0	365324.0	36672.0	13.0	274243.0	2903.0	19.0	269965475	261212317.0	269230197.0	276894890.0	1088465.0	6800592.0	6799664.0	119127.0	271182763.0	13655.0	39229.0	1173134.0	448958.0	240216.0	3271927.0	302281.0	681359.0	47112.0	0.0	327255.0	451649.0	331557.0	270502415.0	271703554.0	7480940.0	6279801.0	43012221.0	11822782.0	234971134.0	266160573.0	272090104.0	151768.0	53161.0	26566.0	5740048.0	0.0	0.0	127.0	1435.0
