Distance,Dups,ComplementaryDups,NoncomplementaryDups
1,19,0,19
2,10,0,10
3,205,0,205
4,325,0,325
5,165,0,165
6,47,0,47
7,16,0,16
8,11,0,11
9,2,0,2
10,3,0,3
11,1,0,1
20,1,0,1
21,1,0,1
25,2,0,2
26,1,1,0
27,1,0,1
34,2,0,2
41,1,0,1
45,1,0,1
48,1,0,1
61,1,0,1
63,2,0,2
65,1,0,1
68,1,0,1
76,2,0,2
90,1,0,1
96,1,0,1
98,1,0,1
112,1,0,1
120,1,0,1
142,1,1,0
159,1,0,1
245,1,0,1
273,1,0,1
326,2,2,0
335,1,0,1
337,1,1,0
356,1,1,0
365,1,1,0
377,1,1,0
386,1,1,0
390,1,1,0
416,1,1,0
497,1,0,1
499,1,0,1
507,1,1,0
518,1,1,0
571,1,1,0
580,1,1,0
596,1,1,0
604,1,1,0
630,1,1,0
666,1,1,0
670,1,1,0
674,1,1,0
680,1,1,0
693,1,1,0
700,2,2,0
708,1,1,0
744,1,1,0
763,1,1,0
773,1,1,0
788,1,0,1
789,1,1,0
898,1,1,0
906,1,1,0
914,1,1,0
918,1,1,0
932,1,1,0
944,1,1,0
959,1,1,0
960,1,1,0
981,2,2,0
982,1,1,0
1023,1,1,0
1038,1,1,0
1045,1,1,0
1053,1,1,0
1072,1,1,0
1108,1,1,0
1112,1,1,0
1138,1,1,0
1149,1,1,0
1151,1,1,0
1187,1,1,0
1190,1,1,0
1204,1,1,0
1209,1,1,0
1212,1,1,0
1249,1,1,0
1269,1,0,1
1276,1,1,0
1300,1,1,0
1305,1,1,0
1316,1,1,0
1332,1,0,1
1387,1,1,0
1395,1,1,0
1400,1,1,0
1413,1,1,0
1415,1,1,0
1440,1,1,0
1471,1,1,0
1494,1,1,0
1503,1,1,0
1522,1,1,0
1543,1,0,1
1547,1,1,0
1563,2,2,0
1566,1,1,0
1573,1,1,0
1585,1,1,0
1605,1,1,0
1608,1,1,0
1619,1,1,0
1632,1,1,0
1651,1,1,0
1654,1,1,0
1663,1,1,0
1669,1,0,1
1682,1,1,0
1695,1,1,0
1704,1,1,0
1731,1,1,0
1739,1,1,0
1741,1,1,0
1792,1,1,0
1795,1,1,0
1814,1,1,0
1825,1,1,0
1841,1,1,0
1851,1,1,0
1854,1,1,0
1872,1,1,0
1899,1,1,0
1913,1,0,1
1938,1,1,0
1957,1,1,0
1958,1,1,0
1987,1,1,0
1995,1,1,0
2002,1,1,0
2023,1,1,0
2025,1,1,0
2044,1,0,1
2045,1,1,0
2052,1,1,0
2054,2,2,0
2058,1,1,0
2070,1,1,0
2086,1,0,1
2104,1,1,0
2110,1,1,0
2111,1,1,0
2121,1,1,0
2142,1,1,0
2146,1,1,0
2158,1,1,0
2162,1,1,0
2170,1,1,0
2175,1,1,0
2188,1,1,0
2198,1,1,0
2206,1,1,0
2232,1,1,0
2245,1,1,0
2253,1,1,0
2261,1,1,0
2265,1,1,0
2283,1,0,1
2294,1,1,0
2296,1,1,0
2326,1,1,0
2329,1,1,0
2343,1,1,0
2365,1,1,0
2366,1,1,0
2388,1,1,0
2427,1,1,0
2445,1,0,1
2458,1,1,0
2483,1,1,0
2493,1,1,0
2538,1,1,0
2553,1,1,0
2583,1,1,0
2584,1,1,0
2590,1,1,0
2591,1,1,0
2595,1,1,0
2628,1,1,0
2639,1,1,0
2641,1,1,0
2645,1,1,0
2653,1,1,0
2684,1,1,0
2689,1,1,0
2715,1,1,0
2727,1,0,1
2737,1,1,0
2739,1,1,0
2783,1,1,0
2798,1,1,0
2825,1,1,0
2839,1,1,0
2844,1,1,0
2847,1,1,0
2860,1,1,0
2898,1,1,0
2913,1,1,0
2926,1,1,0
2938,2,1,1
2943,1,1,0
2947,1,1,0
2960,1,1,0
2973,1,1,0
2974,1,1,0
3001,1,1,0
3012,3,3,0
3037,1,1,0
3050,1,1,0
3051,1,1,0
3058,1,1,0
3064,1,1,0
3084,1,1,0
3159,1,1,0
3160,1,1,0
3191,1,1,0
3193,1,1,0
3204,1,1,0
3223,1,1,0
3225,1,1,0
3252,1,1,0
3268,1,1,0
3278,1,1,0
3340,2,2,0
3361,1,1,0
3402,1,1,0
3408,1,0,1
3470,1,1,0
3495,1,1,0
3513,1,1,0
3518,1,1,0
3527,1,1,0
3545,1,1,0
3556,1,1,0
3557,1,1,0
3642,1,1,0
3692,1,1,0
3703,1,0,1
3756,1,1,0
3820,1,0,1
3830,1,1,0
3845,1,0,1
3847,1,1,0
3867,1,1,0
3890,1,1,0
3892,1,1,0
3927,1,1,0
3956,1,1,0
3967,1,1,0
4032,1,1,0
4053,1,1,0
4054,1,1,0
4072,1,1,0
4102,1,1,0
4104,1,1,0
4122,1,1,0
4169,1,0,1
4196,1,1,0
4204,1,1,0
4222,1,1,0
4231,1,1,0
4338,1,1,0
4441,1,1,0
4480,1,1,0
4482,1,1,0
4518,1,1,0
4634,1,1,0
4783,1,0,1
4795,1,1,0
4830,1,1,0
4907,1,1,0
5010,1,1,0
5086,1,1,0
