## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAG_DUPLICATE_SET_MEMBERS true --INPUT aviti_ngi_OPM2.chr20.bam --OUTPUT dups/aviti_ngi_OPM2.chr20.bam --METRICS_FILE dups/aviti_ngi_OPM2.chr20.bam.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 10 16:08:30 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
OPM2	13456	5160740	60481	13456	2030	172096	20690	0.0335	85527334

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003905	4769013	0	4787853
2.0	1.949026	168067	20090	151021
3.0	2.838804	1923	288	182
4.0	3.67648	57	8	7
5.0	4.465106	3	0	0
6.0	5.207553	0	0	0
7.0	5.906525	0	0	0
8.0	6.564569	0	0	0
9.0	7.18408	0	0	0
10.0	7.767315	0	0	0
11.0	8.316399	0	0	0
12.0	8.83333	0	0	0
13.0	9.319992	0	0	0
14.0	9.778157	0	0	0
15.0	10.209494	0	0	0
16.0	10.615573	0	0	0
17.0	10.997875	0	0	0
18.0	11.35779	0	0	0
19.0	11.69663	0	0	0
20.0	12.015629	0	0	0
21.0	12.315949	0	0	0
22.0	12.598683	0	0	0
23.0	12.864862	0	0	0
24.0	13.115454	0	0	0
25.0	13.351373	0	0	0
26.0	13.573477	0	0	0
27.0	13.782576	0	0	0
28.0	13.97943	0	0	0
29.0	14.164758	0	0	0
30.0	14.339234	0	0	0
31.0	14.503493	0	0	0
32.0	14.658134	0	0	0
33.0	14.803719	0	0	0
34.0	14.94078	0	0	0
35.0	15.069815	0	0	0
36.0	15.191295	0	0	0
37.0	15.305661	0	0	0
38.0	15.41333	0	0	0
39.0	15.514695	0	0	0
40.0	15.610124	0	0	0
41.0	15.699965	0	0	0
42.0	15.784545	0	0	0
43.0	15.864173	0	0	0
44.0	15.939138	0	0	0
45.0	16.009713	0	0	0
46.0	16.076156	0	0	0
47.0	16.138708	0	0	0
48.0	16.197598	0	0	0
49.0	16.253039	0	0	0
50.0	16.305234	0	0	0
51.0	16.354372	0	0	0
52.0	16.400633	0	0	0
53.0	16.444185	0	0	0
54.0	16.485187	0	0	0
55.0	16.523788	0	0	0
56.0	16.560129	0	0	0
57.0	16.594342	0	0	0
58.0	16.626551	0	0	0
59.0	16.656875	0	0	0
60.0	16.685422	0	0	0
61.0	16.712299	0	0	0
62.0	16.737601	0	0	0
63.0	16.761422	0	0	0
64.0	16.783848	0	0	0
65.0	16.80496	0	0	0
66.0	16.824837	0	0	0
67.0	16.843549	0	0	0
68.0	16.861166	0	0	0
69.0	16.877752	0	0	0
70.0	16.893366	0	0	0
71.0	16.908066	0	0	0
72.0	16.921905	0	0	0
73.0	16.934933	0	0	0
74.0	16.947199	0	0	0
75.0	16.958747	0	0	0
76.0	16.969618	0	0	0
77.0	16.979853	0	0	0
78.0	16.989488	0	0	0
79.0	16.99856	0	0	0
80.0	17.0071	0	0	0
81.0	17.01514	0	0	0
82.0	17.022709	0	0	0
83.0	17.029835	0	0	0
84.0	17.036544	0	0	0
85.0	17.04286	0	0	0
86.0	17.048806	0	0	0
87.0	17.054404	0	0	0
88.0	17.059674	0	0	0
89.0	17.064635	0	0	0
90.0	17.069306	0	0	0
91.0	17.073704	0	0	0
92.0	17.077844	0	0	0
93.0	17.081741	0	0	0
94.0	17.085411	0	0	0
95.0	17.088865	0	0	0
96.0	17.092117	0	0	0
97.0	17.095179	0	0	0
98.0	17.098062	0	0	0
99.0	17.100775	0	0	0
100.0	17.10333	0	0	0

