Number of reads: 561926
Number of reads within tile: 30563 (5.44%)
Distance	Count
1	183
2	163
3	2111
4	6384
5	3477
6	1111
7	516
8	242
9	103
10	38
11	19
12	10
13	5
14	4
15	4
16	4
17	2
18	4
19	5
20	3
21	4
22	3
23	5
24	3
25	2
26	6
27	3
28	3
29	3
30	3
31	2
32	2
33	5
34	5
35	1
36	5
37	3
38	2
39	4
40	2
41	6
42	3
43	2
45	7
46	6
47	5
48	4
49	4
50	4
51	6
52	3
53	1
54	2
55	7
56	3
57	3
58	2
59	3
60	4
61	2
62	1
63	6
64	3
65	2
66	2
67	1
68	4
69	1
70	3
71	3
72	3
74	3
75	2
76	2
77	1
78	2
79	4
80	2
82	1
83	4
84	2
85	3
86	4
87	5
88	4
89	3
90	3
91	5
92	2
93	7
95	2
96	4
97	4
98	3
99	2
100	4
101	3
102	2
103	1
104	3
105	3
106	2
107	2
108	3
109	2
110	4
111	7
112	2
113	5
114	5
115	1
116	1
117	1
118	3
119	2
120	2
121	1
122	8
123	2
124	2
126	1
127	1
128	1
129	2
130	2
131	1
132	1
133	2
134	2
135	2
136	1
137	1
138	6
139	7
141	2
142	1
143	2
144	3
145	1
146	2
147	2
148	2
149	3
150	3
152	3
153	2
154	1
155	2
157	6
158	3
159	1
160	1
161	1
162	1
163	3
164	3
166	2
167	1
168	1
169	2
172	4
174	1
176	1
177	1
178	1
179	1
182	3
184	1
185	1
186	3
187	1
190	2
191	1
194	1
195	1
196	1
201	3
202	3
203	3
205	1
206	2
209	1
211	2
214	2
215	1
216	1
217	1
218	1
219	1
220	1
221	3
222	1
223	1
224	1
226	2
237	1
238	1
241	1
247	2
251	4
253	3
254	1
256	2
258	1
262	1
263	1
267	4
268	2
269	2
271	1
273	2
274	1
275	1
278	1
281	1
286	3
295	1
299	1
300	1
301	1
302	1
305	2
306	1
308	1
309	1
319	1
322	1
324	1
328	1
331	1
332	1
334	1
335	1
338	2
341	1
343	1
345	1
350	2
354	1
358	1
363	1
369	1
370	1
371	1
372	2
378	1
379	1
382	1
383	1
384	1
389	1
394	1
397	1
398	1
400	1
402	2
404	1
409	1
419	1
420	1
422	1
426	2
432	1
437	1
440	1
446	1
460	1
462	1
467	1
471	1
472	1
480	1
486	1
492	1
496	1
499	1
500	1
503	1
504	1
507	1
508	1
515	1
517	1
520	1
530	1
535	1
536	1
548	2
551	1
559	1
561	1
574	2
579	1
598	1
599	1
616	1
621	1
628	1
641	1
656	2
658	1
659	1
660	1
663	1
676	1
677	1
681	1
693	1
695	1
704	1
706	1
716	1
721	2
722	1
725	1
731	1
732	1
744	1
749	1
752	1
756	1
766	2
775	1
778	1
780	1
784	1
785	1
791	1
802	1
825	1
828	1
829	1
832	1
837	1
852	1
853	1
856	1
857	1
860	1
862	1
867	1
869	1
891	1
894	1
900	1
904	1
905	1
906	1
919	1
920	2
941	2
947	1
971	1
974	1
976	1
977	1
985	1
988	1
995	1
1005	1
1008	1
1009	1
1011	1
1016	1
1022	1
1037	1
1039	1
1042	1
1046	1
1049	1
1050	1
1056	1
1057	1
1058	1
1064	1
1068	1
1071	1
1078	1
1090	1
1093	1
1103	1
1105	1
1109	1
1114	1
1119	1
1121	1
1130	1
1138	1
1140	1
1151	1
1178	1
1190	1
1194	2
1201	1
1203	1
1204	1
1210	1
1212	1
1229	1
1231	1
1236	1
1251	1
1255	2
1256	1
1259	1
1277	1
1280	2
1282	1
1283	1
1295	1
1301	1
1310	1
1314	1
1315	1
1316	2
1319	1
1322	1
1330	1
1339	1
1340	1
1341	1
1346	1
1353	1
1366	1
1368	3
1370	1
1389	1
1394	1
1399	1
1405	1
1412	1
1423	1
1428	1
1432	1
1433	1
1436	1
1451	1
1457	1
1459	1
1479	1
1480	1
1491	1
1500	1
1507	1
1510	2
1512	1
1513	1
1516	1
1526	2
1528	1
1529	1
1546	1
1556	1
1561	1
1568	1
1589	1
1593	1
1610	1
1616	1
1618	1
1622	1
1631	1
1636	1
1649	1
1652	1
1655	1
1661	1
1671	1
1675	1
1680	1
1696	1
1704	2
1721	1
1732	1
1733	1
1735	1
1756	1
1766	1
1769	1
1772	1
1778	1
1784	1
1790	1
1807	1
1814	1
1816	1
1824	1
1829	1
1845	1
1848	1
1854	1
1871	1
1874	1
1875	1
1877	1
1881	1
1885	1
1889	1
1902	1
1906	1
1919	1
1920	2
1921	1
1927	1
1935	1
1973	1
1976	1
1995	1
1996	1
1997	1
2002	1
2004	1
2005	1
2006	1
2011	1
2014	1
2021	1
2025	1
2029	1
2033	1
2034	1
2038	1
2039	1
2048	1
2049	1
2052	1
2061	1
2068	1
2071	1
2074	1
2075	1
2085	1
2087	1
2090	1
2098	1
2099	1
2104	1
2111	1
2121	1
2129	1
2134	1
2152	1
2154	1
2158	1
2168	1
2170	1
2179	1
2180	1
2186	1
2188	1
2189	1
2196	1
2215	1
2221	1
2232	1
2235	1
2241	1
2246	1
2247	2
2248	1
2263	1
2275	1
2280	1
2286	1
2295	1
2296	1
2298	1
2317	1
2321	1
2325	1
2328	1
2338	1
2346	1
2356	1
2357	1
2359	3
2372	1
2373	1
2386	1
2389	1
2407	1
2415	1
2421	2
2423	1
2432	1
2443	1
2445	1
2451	1
2459	1
2460	1
2462	1
2469	1
2479	1
2490	1
2496	1
2498	1
2503	2
2506	1
2514	1
2524	1
2530	1
2542	2
2545	1
2546	2
2547	1
2575	2
2578	1
2580	1
2583	1
2588	1
2589	1
2592	2
2619	1
2629	1
2635	2
2642	1
2675	1
2676	1
2707	1
2708	1
2714	1
2719	1
2726	1
2736	1
2744	1
2746	1
2756	1
2759	1
2762	1
2768	1
2773	1
2774	1
2785	1
2792	1
2799	1
2805	1
2816	1
2825	1
2844	1
2847	1
2859	1
2864	1
2868	1
2873	1
2876	1
2877	1
2886	1
2906	2
2911	1
2914	1
2926	1
2927	1
2930	1
2932	1
2937	1
2939	1
2942	1
2944	1
2948	1
2951	1
2958	2
2965	1
2968	1
2970	1
2977	1
2981	1
2982	1
2985	1
2989	2
2994	1
2995	1
2997	1
2998	1
3000	1
3003	1
3010	1
3015	1
3025	1
3026	1
3027	1
3035	1
3042	1
3043	1
3044	1
3047	1
3048	1
3054	1
3059	1
3079	1
3081	1
3082	1
3097	1
3099	1
3101	1
3107	1
3113	1
3117	1
3119	2
3121	2
3124	1
3130	1
3131	1
3133	1
3145	1
3159	1
3164	1
3173	1
3180	1
3187	1
3193	1
3194	1
3197	1
3205	1
3215	1
3216	1
3218	1
3228	1
3256	1
3261	1
3269	1
3273	1
3289	1
3293	2
3309	1
3318	1
3322	1
3325	1
3332	1
3335	1
3336	1
3341	1
3353	1
3362	1
3369	1
3370	1
3403	1
3413	1
3417	1
3418	1
3422	1
3423	1
3426	1
3428	1
3429	1
3431	1
3438	1
3439	1
3440	1
3456	1
3464	2
3467	1
3473	1
3478	2
3488	1
3489	1
3499	1
3535	1
3552	1
3565	1
3609	1
3618	1
3631	1
3636	1
3638	1
3675	1
3696	1
3704	1
3719	1
3725	1
3752	1
3759	1
3765	1
3789	1
3799	1
3816	1
3818	1
3820	1
3838	1
3840	1
3843	1
3845	1
3847	1
3876	1
3888	1
3902	1
3906	1
3938	1
3959	1
3973	1
3977	1
3987	1
3991	1
3999	1
4004	1
4005	1
4072	1
4102	1
4111	1
4130	1
4135	1
4138	1
4146	1
4155	1
4214	1
4215	1
4226	1
4249	1
4289	1
4307	1
4310	1
4313	1
4357	1
4388	1
4401	1
4499	1
4509	1
4512	1
4552	1
4558	1
4561	1
4635	1
4646	1
4690	1
4693	1
4712	1
4717	1
4722	1
4740	1
4742	1
4762	1
4779	1
4796	1
4806	1
4810	1
4843	1
4885	1
5011	1
5023	1
5025	1
5029	1
5060	1
5155	1
5169	1
5254	1
5392	1
5452	1
Size	Count
2	138313
3	1387
4	39
5	4
