Distance,Dups,ComplementaryDups,NoncomplementaryDups
18,2956985,1276,2955709
19,642994,283,642711
31,61438,35,61403
32,286604,171,286433
33,5294,5,5289
36,58944,42,58902
37,116993,59,116934
38,2628,3,2625
48,24203,16,24187
49,5808,3,5805
50,161,0,161
55,4276,4,4272
56,991,0,991
63,221,0,221
64,407,1,406
65,115,0,115
66,663,0,663
67,107,0,107
73,108,0,108
74,68,0,68
80,115,0,115
81,7,0,7
84,107,1,106
85,32,0,32
92,57,0,57
93,8,0,8
95,15,0,15
96,23,0,23
97,71,0,71
98,16,0,16
102,29,0,29
103,36,0,36
110,15,0,15
111,27,0,27
112,57,0,57
113,3,0,3
114,3,0,3
115,69,0,69
116,6,0,6
120,1,0,1
121,62,0,62
122,10,0,10
127,1,0,1
128,48,0,48
129,65,0,65
130,12,0,12
132,13,0,13
133,35,0,35
134,2,0,2
138,2,0,2
139,36,0,36
140,11,0,11
144,54,0,54
145,7,0,7
146,26,0,26
147,27,0,27
148,13,0,13
150,4,0,4
151,31,0,31
152,4,0,4
157,31,0,31
158,11,0,11
159,4,0,4
160,28,0,28
161,23,0,23
162,3,0,3
164,32,0,32
165,3,0,3
166,21,0,21
167,2,0,2
169,13,0,13
170,7,0,7
175,6,0,6
176,43,0,43
177,21,0,21
178,18,0,18
179,6,0,6
181,15,0,15
182,16,0,16
183,1,0,1
184,2,0,2
185,5,0,5
187,22,0,22
188,6,0,6
191,5,0,5
192,31,0,31
193,18,0,18
194,26,0,26
195,37,0,37
196,4,0,4
199,19,0,19
200,19,0,19
202,2,0,2
203,9,0,9
204,3,0,3
205,17,0,17
206,15,0,15
207,5,0,5
208,30,0,30
209,31,0,31
210,15,0,15
211,1,0,1
212,10,0,10
213,39,0,39
214,5,0,5
217,17,0,17
218,9,0,9
221,7,0,7
222,4,0,4
223,11,0,11
224,67,0,67
225,16,0,16
226,5,0,5
227,17,0,17
228,5,0,5
230,9,0,9
231,26,0,26
232,6,0,6
235,16,0,16
236,8,0,8
239,8,0,8
240,28,0,28
241,26,0,26
242,22,0,22
243,15,0,15
244,16,0,16
245,6,0,6
248,12,0,12
249,14,0,14
250,17,0,17
251,1,0,1
253,12,0,12
254,11,0,11
255,3,0,3
256,22,0,22
257,6,0,6
258,23,0,23
259,19,0,19
260,19,0,19
261,14,0,14
262,8,0,8
263,2,0,2
265,1,0,1
266,14,0,14
267,6,0,6
268,13,0,13
269,1,0,1
271,1,0,1
272,30,0,30
273,16,0,16
274,6,0,6
275,7,0,7
276,11,0,11
277,5,0,5
278,9,0,9
279,25,0,25
280,9,0,9
284,7,0,7
285,8,0,8
286,7,0,7
287,5,0,5
288,17,0,17
289,7,0,7
290,20,0,20
291,7,0,7
293,16,0,16
294,3,0,3
295,2,0,2
296,3,0,3
297,26,0,26
298,9,0,9
302,14,0,14
303,8,0,8
304,16,0,16
305,25,0,25
306,7,0,7
307,3,0,3
308,26,0,26
309,7,0,7
310,6,0,6
311,14,0,14
312,1,0,1
314,7,0,7
315,20,0,20
316,16,0,16
319,2,0,2
320,25,0,25
321,15,0,15
322,11,0,11
323,12,0,12
324,11,0,11
325,5,0,5
326,9,0,9
327,13,0,13
328,16,0,16
329,4,0,4
332,6,0,6
333,21,0,21
334,14,0,14
335,4,1,3
336,13,1,12
337,20,0,20
338,15,0,15
339,23,0,23
340,10,0,10
342,22,1,21
343,5,0,5
345,17,0,17
346,15,0,15
347,2,0,2
350,3,0,3
351,9,0,9
352,35,0,35
353,21,0,21
354,11,0,11
356,15,0,15
357,12,0,12
359,8,0,8
360,16,0,16
361,3,0,3
363,7,0,7
364,16,0,16
365,1,0,1
367,1,0,1
368,13,0,13
369,29,0,29
370,17,0,17
371,20,0,20
372,3,0,3
373,9,0,9
374,17,0,17
375,10,0,10
376,1,0,1
377,7,0,7
378,7,0,7
379,7,0,7
380,3,0,3
381,8,0,8
382,11,0,11
383,1,0,1
384,13,0,13
385,12,1,11
386,7,0,7
387,13,0,13
388,16,1,15
389,10,0,10
390,6,0,6
391,9,0,9
392,1,0,1
393,6,0,6
394,5,0,5
395,8,0,8
396,2,0,2
397,4,1,3
398,4,0,4
399,7,0,7
400,25,0,25
401,13,0,13
402,3,1,2
403,8,0,8
404,3,0,3
405,14,0,14
406,8,0,8
407,7,0,7
408,21,0,21
409,4,0,4
411,6,0,6
412,12,0,12
413,5,0,5
415,1,0,1
416,19,0,19
417,29,0,29
418,17,0,17
419,8,1,7
420,6,0,6
421,1,0,1
422,5,0,5
423,14,0,14
424,1,0,1
425,5,0,5
426,22,0,22
427,7,0,7
429,5,0,5
430,10,0,10
431,4,0,4
432,13,0,13
433,9,0,9
434,14,2,12
435,23,0,23
436,7,0,7
437,20,0,20
439,2,0,2
440,3,0,3
441,3,0,3
442,2,0,2
443,4,0,4
444,12,0,12
445,3,0,3
447,1,0,1
448,16,0,16
449,15,0,15
450,5,0,5
451,4,0,4
452,7,0,7
453,8,0,8
454,13,0,13
455,10,0,10
456,3,0,3
457,3,0,3
458,3,0,3
459,2,0,2
460,11,0,11
461,7,0,7
462,6,0,6
463,11,0,11
464,11,1,10
465,13,0,13
466,22,0,22
467,15,0,15
468,7,0,7
469,7,0,7
471,14,0,14
472,13,0,13
473,5,0,5
474,15,0,15
475,3,0,3
476,1,0,1
477,2,0,2
478,6,0,6
479,7,0,7
480,10,0,10
481,9,0,9
482,22,0,22
483,2,0,2
484,10,0,10
485,17,0,17
486,4,0,4
488,2,0,2
489,6,0,6
490,13,0,13
491,3,0,3
492,6,0,6
493,7,0,7
495,1,0,1
496,7,0,7
497,21,0,21
498,4,0,4
499,7,0,7
500,9,0,9
501,7,0,7
502,10,1,9
503,12,0,12
504,1,0,1
506,5,0,5
507,2,0,2
508,10,0,10
509,9,0,9
510,6,0,6
511,8,0,8
512,5,0,5
513,12,0,12
