Distance,Dups,ComplementaryDups,NoncomplementaryDups
18,2560736,1153,2559583
19,558255,288,557967
31,58607,28,58579
32,272726,202,272524
33,5076,1,5075
36,56410,34,56376
37,112765,79,112686
38,2509,2,2507
48,26026,14,26012
49,6170,4,6166
50,192,0,192
55,4426,4,4422
56,1101,0,1101
63,265,0,265
64,488,0,488
65,137,1,136
66,757,0,757
67,114,0,114
73,93,0,93
74,46,0,46
79,2,0,2
80,106,2,104
81,3,0,3
84,74,1,73
85,20,0,20
92,44,0,44
93,11,0,11
95,18,0,18
96,16,0,16
97,60,0,60
98,16,0,16
102,35,0,35
103,43,0,43
110,5,0,5
111,21,0,21
112,39,1,38
113,3,0,3
114,1,0,1
115,42,0,42
116,6,0,6
120,1,0,1
121,37,0,37
122,8,0,8
127,2,0,2
128,19,0,19
129,36,0,36
130,10,0,10
132,12,0,12
133,23,0,23
134,5,0,5
138,5,0,5
139,15,0,15
140,5,0,5
144,26,0,26
145,2,0,2
146,21,0,21
147,25,0,25
148,2,0,2
150,3,0,3
151,24,0,24
152,1,0,1
157,21,0,21
158,7,0,7
159,4,0,4
160,15,0,15
161,19,0,19
162,2,0,2
164,26,0,26
165,4,0,4
166,12,1,11
168,1,0,1
169,21,0,21
170,8,0,8
175,10,0,10
176,30,0,30
177,11,0,11
178,19,0,19
179,4,0,4
181,11,0,11
182,14,0,14
183,2,0,2
184,6,0,6
185,8,0,8
187,32,0,32
188,9,0,9
191,2,0,2
192,23,0,23
193,12,0,12
194,19,0,19
195,29,0,29
196,2,0,2
199,17,0,17
200,19,0,19
202,1,0,1
203,5,0,5
204,4,0,4
205,14,0,14
206,13,0,13
207,1,0,1
208,12,0,12
209,14,0,14
210,6,0,6
211,3,0,3
212,8,0,8
213,25,0,25
214,8,0,8
217,13,0,13
218,8,0,8
221,3,0,3
222,3,0,3
223,8,0,8
224,36,0,36
225,8,0,8
226,1,0,1
227,10,0,10
228,3,0,3
230,11,0,11
231,25,0,25
232,2,0,2
235,12,0,12
236,8,0,8
239,4,0,4
240,27,0,27
241,20,0,20
242,15,1,14
243,13,0,13
244,8,0,8
245,4,0,4
248,11,0,11
249,17,0,17
250,14,0,14
251,2,0,2
253,3,0,3
254,10,0,10
255,4,0,4
256,14,0,14
257,10,0,10
258,13,0,13
259,12,0,12
260,14,0,14
261,11,0,11
262,10,0,10
266,15,0,15
267,6,0,6
268,15,0,15
269,2,0,2
271,2,0,2
272,18,0,18
273,14,0,14
274,3,0,3
276,16,0,16
277,5,0,5
278,6,0,6
279,18,0,18
280,6,0,6
284,10,0,10
285,6,0,6
286,9,0,9
287,7,0,7
288,11,0,11
289,3,0,3
290,26,0,26
291,8,0,8
293,8,0,8
294,5,0,5
295,4,0,4
296,3,0,3
297,15,0,15
298,8,1,7
301,1,0,1
302,15,0,15
303,7,0,7
304,9,0,9
305,18,0,18
306,6,0,6
307,4,0,4
308,15,0,15
309,7,1,6
310,5,0,5
311,6,0,6
314,4,0,4
315,11,0,11
316,9,0,9
319,2,0,2
320,13,0,13
321,22,0,22
