Distance,Dups,ComplementaryDups,NoncomplementaryDups
1,20,0,20
2,21,0,21
3,265,0,265
4,405,0,405
5,178,0,178
6,38,0,38
7,26,0,26
8,8,0,8
9,2,0,2
10,2,0,2
11,2,0,2
12,1,0,1
13,1,0,1
25,1,0,1
26,1,0,1
28,3,0,3
29,1,1,0
30,1,0,1
32,1,0,1
37,1,0,1
42,1,0,1
46,1,0,1
47,1,0,1
54,1,0,1
55,2,0,2
58,1,0,1
64,1,0,1
68,1,0,1
71,1,0,1
72,1,0,1
73,2,0,2
75,1,0,1
81,1,0,1
82,2,0,2
84,1,0,1
89,1,0,1
96,1,0,1
101,1,0,1
104,1,0,1
106,1,0,1
123,1,0,1
124,1,0,1
128,1,1,0
130,1,0,1
149,1,0,1
165,1,1,0
178,1,0,1
186,1,0,1
213,1,0,1
234,1,1,0
281,1,0,1
317,1,0,1
325,1,1,0
338,1,1,0
385,1,0,1
428,1,1,0
433,1,1,0
443,1,1,0
451,1,1,0
470,1,1,0
525,1,1,0
555,1,1,0
566,1,1,0
567,1,1,0
580,1,1,0
585,1,1,0
589,1,0,1
600,1,1,0
694,1,0,1
732,1,1,0
735,1,1,0
777,1,1,0
810,1,1,0
839,1,1,0
842,1,1,0
845,1,0,1
849,1,1,0
852,1,1,0
860,1,1,0
909,1,1,0
915,1,1,0
929,1,1,0
935,1,0,1
936,1,1,0
945,2,1,1
947,1,1,0
948,1,1,0
955,1,0,1
980,1,1,0
981,1,1,0
983,1,0,1
1000,1,0,1
1012,1,0,1
1017,1,1,0
1033,1,0,1
1051,1,1,0
1059,1,1,0
1065,1,1,0
1073,1,1,0
1078,1,1,0
1085,1,1,0
1096,1,1,0
1102,1,1,0
1106,1,1,0
1143,1,1,0
1148,1,0,1
1156,1,1,0
1163,1,1,0
1169,1,1,0
1175,1,1,0
1178,1,0,1
1182,1,1,0
1194,1,1,0
1201,1,1,0
1204,1,1,0
1232,1,1,0
1243,1,0,1
1274,2,2,0
1293,1,0,1
1294,1,0,1
1299,1,1,0
1301,1,1,0
1305,1,1,0
1312,2,1,1
1313,1,1,0
1326,1,1,0
1374,1,1,0
1377,1,1,0
1381,1,1,0
1413,1,1,0
1419,1,1,0
1421,1,1,0
1431,1,1,0
1436,1,1,0
1441,1,1,0
1470,1,0,1
1475,1,1,0
1487,1,1,0
1489,1,1,0
1490,1,1,0
1496,1,1,0
1530,1,1,0
1540,1,1,0
1550,1,1,0
1555,1,1,0
1561,1,1,0
1577,1,1,0
1587,2,2,0
1601,1,1,0
1602,1,1,0
1603,1,1,0
1614,1,1,0
1616,1,1,0
1617,1,1,0
1620,1,1,0
1623,1,1,0
1669,1,1,0
1685,1,1,0
1689,1,1,0
1717,1,1,0
1722,1,1,0
1737,1,1,0
1754,1,1,0
1791,1,1,0
1792,1,1,0
1819,1,1,0
1822,1,1,0
1831,1,1,0
1835,1,1,0
1849,1,1,0
1859,1,1,0
1869,1,1,0
1876,1,1,0
1881,1,1,0
1889,2,2,0
1913,1,1,0
1927,1,1,0
1936,1,1,0
1951,2,1,1
1980,1,1,0
1981,1,1,0
1984,1,1,0
1988,1,0,1
2011,1,1,0
2014,1,1,0
2025,1,1,0
2052,1,1,0
2066,1,1,0
2068,1,1,0
2071,1,1,0
2075,1,1,0
2123,1,1,0
2135,1,1,0
2139,1,1,0
2147,1,1,0
2149,1,1,0
2150,1,1,0
2155,1,1,0
2175,1,1,0
2176,1,1,0
2179,2,2,0
2183,1,1,0
2197,1,1,0
2241,1,1,0
2243,1,1,0
2253,1,1,0
2281,1,1,0
2286,1,1,0
2292,2,2,0
2294,1,1,0
2297,1,1,0
2306,1,1,0
2309,1,1,0
2331,1,1,0
2332,1,0,1
2345,1,1,0
2348,1,1,0
2352,1,1,0
2354,1,0,1
2359,1,1,0
2363,1,1,0
2365,1,1,0
2367,2,2,0
2374,1,1,0
2378,2,2,0
2393,1,1,0
2404,1,1,0
2409,2,2,0
2415,1,1,0
2424,1,1,0
2427,2,2,0
2464,1,1,0
2469,1,1,0
2497,1,1,0
2509,1,1,0
2537,1,1,0
2542,1,1,0
2549,1,1,0
2590,1,0,1
2611,1,1,0
2615,1,1,0
2621,1,1,0
2630,1,1,0
2643,1,1,0
2648,1,1,0
2680,1,1,0
2689,1,1,0
2706,1,1,0
2714,1,0,1
2719,1,1,0
2723,1,1,0
2727,1,1,0
2760,2,2,0
2770,1,1,0
2773,1,1,0
2783,1,1,0
2788,1,1,0
2792,1,1,0
2800,1,1,0
2804,1,1,0
2815,1,1,0
2818,1,1,0
2825,1,1,0
2835,1,0,1
2857,1,1,0
2864,1,1,0
2876,1,1,0
2896,1,1,0
2911,1,1,0
2912,1,1,0
2916,1,1,0
2931,1,1,0
2932,1,1,0
2933,1,1,0
2937,1,1,0
2944,1,1,0
2953,1,1,0
2971,1,1,0
2972,1,1,0
2981,1,1,0
3008,1,0,1
3106,1,1,0
3115,1,1,0
3128,1,1,0
3136,1,1,0
3141,1,1,0
3158,1,1,0
3174,1,1,0
3213,1,1,0
3215,1,1,0
3216,1,1,0
3229,1,1,0
3231,1,1,0
3241,1,1,0
3264,1,0,1
3267,1,1,0
3274,1,1,0
3287,1,1,0
3301,1,1,0
3308,1,1,0
3311,1,1,0
3317,1,0,1
3350,1,1,0
3360,2,1,1
3364,1,0,1
3387,1,1,0
3401,1,1,0
3428,1,1,0
3448,1,1,0
3483,1,1,0
3536,1,1,0
3546,1,1,0
3565,1,1,0
3572,1,1,0
3604,1,1,0
3606,1,1,0
3618,1,1,0
3619,1,1,0
3655,1,1,0
3687,1,1,0
3756,1,1,0
3757,1,1,0
3788,1,1,0
3791,1,1,0
3806,1,1,0
3811,1,1,0
3834,1,1,0
3856,1,1,0
3858,1,0,1
3859,1,1,0
3861,2,2,0
3887,1,1,0
3941,1,1,0
3950,1,1,0
3972,1,1,0
3988,2,2,0
4013,1,1,0
4030,1,1,0
4034,1,1,0
4037,1,1,0
4175,1,1,0
4191,1,1,0
4192,1,1,0
4199,1,1,0
4229,1,1,0
4259,1,1,0
4271,1,1,0
4320,2,2,0
4321,1,1,0
4362,1,1,0
4369,1,1,0
4415,1,1,0
4496,1,1,0
4521,1,1,0
4536,1,1,0
4565,1,1,0
4642,1,1,0
4664,1,0,1
4668,1,1,0
4698,1,1,0
4704,1,1,0
4735,1,1,0
4790,1,1,0
4828,1,1,0
4832,1,1,0
4924,1,1,0
5091,1,1,0
5177,1,1,0
5258,1,0,1
5523,1,0,1
