Number of reads: 633268
Number of reads within tile: 37302 (5.89%)
Distance	Count
1	198
2	217
3	2438
4	7779
5	4283
6	1416
7	728
8	339
9	148
10	65
11	21
12	19
13	11
14	4
15	3
16	4
17	6
18	3
19	2
20	2
21	3
22	3
23	2
24	1
25	4
26	1
27	2
28	3
29	3
30	2
31	3
32	3
33	6
34	2
35	1
36	2
37	5
38	1
39	1
40	3
41	4
42	3
43	5
44	4
45	5
46	3
47	6
48	2
49	6
50	3
51	4
52	2
53	2
54	4
55	3
56	5
58	4
59	3
60	6
61	4
62	6
63	2
64	5
65	2
66	3
67	3
68	4
69	2
70	3
71	2
72	2
73	2
74	2
75	3
76	1
77	2
78	1
79	6
80	4
81	4
82	4
83	4
84	3
85	1
86	4
87	5
88	2
89	3
90	4
91	2
92	2
93	1
94	2
95	4
96	4
97	3
98	4
99	2
100	6
101	1
102	3
104	1
105	1
106	5
107	3
108	4
109	2
110	3
111	1
112	2
113	1
114	2
115	2
116	2
117	2
118	2
119	2
120	1
121	1
122	1
123	2
124	4
125	4
126	5
127	2
128	1
129	1
130	2
132	4
133	4
134	1
135	1
136	1
138	2
139	2
140	2
141	3
142	2
144	1
145	3
146	1
148	1
149	1
150	2
151	1
152	1
153	3
154	1
156	1
157	2
158	4
159	1
160	1
161	4
162	1
163	2
164	3
165	2
166	1
167	1
168	1
169	2
171	1
172	1
173	1
175	1
176	1
177	2
178	4
179	2
181	4
183	2
184	2
185	1
186	1
188	2
193	2
196	2
197	1
198	4
199	1
200	4
202	2
203	1
204	1
205	1
206	3
207	1
209	1
213	1
214	2
215	1
216	1
218	4
220	2
222	2
224	1
225	1
226	3
228	3
229	3
231	1
232	1
233	1
234	1
235	1
236	1
239	2
240	1
242	1
243	1
245	2
246	2
247	1
248	2
249	1
250	1
252	1
253	2
254	3
256	1
259	1
260	1
261	2
263	2
264	2
265	1
268	3
269	1
270	1
271	1
273	1
274	2
276	2
279	2
283	1
284	1
285	1
287	1
288	1
295	1
296	1
301	1
306	1
307	1
309	1
310	1
316	1
318	1
322	3
325	2
330	1
331	1
333	1
335	2
339	2
340	1
345	2
350	1
353	1
354	1
355	1
359	1
361	1
365	2
366	2
367	1
368	2
370	1
371	1
373	1
375	1
377	2
380	1
381	1
384	1
385	1
386	1
389	1
393	1
398	1
399	1
403	1
404	1
405	1
406	1
413	1
417	2
423	1
429	1
430	1
435	1
445	1
467	1
475	1
479	1
490	2
491	1
494	1
497	1
499	1
500	1
501	1
504	1
507	2
508	1
510	1
516	1
522	1
524	1
525	1
526	1
528	1
536	1
541	1
553	1
556	1
558	1
559	1
567	1
573	1
577	1
580	1
594	1
610	1
615	1
617	2
619	1
621	1
625	1
627	1
644	1
650	1
653	1
654	1
658	1
659	1
663	1
678	1
687	2
702	1
706	1
708	1
713	1
719	1
724	1
726	1
727	2
728	2
732	1
734	1
736	1
752	1
753	1
756	1
758	1
773	1
780	1
785	1
789	1
796	1
801	1
802	1
804	1
805	1
808	1
822	1
823	1
832	1
835	1
840	1
842	1
845	1
848	1
850	1
864	1
871	2
878	1
884	1
898	1
913	1
921	1
922	1
928	1
934	1
936	1
938	2
943	1
945	1
950	1
952	1
958	1
960	1
961	1
966	1
969	1
971	2
975	1
985	1
986	1
987	1
995	1
998	1
999	1
1003	1
1006	1
1010	1
1011	1
1036	1
1042	1
1059	1
1070	1
1072	1
1073	1
1080	1
1082	1
1087	1
1095	1
1096	1
1103	1
1110	3
1114	1
1115	1
1118	1
1119	2
1124	1
1126	1
1128	1
1134	1
1136	1
1137	1
1141	1
1145	1
1157	1
1161	1
1167	1
1173	1
1179	1
1187	1
1190	1
1191	1
1197	1
1200	1
1202	1
1207	1
1216	1
1218	1
1237	1
1241	1
1244	1
1245	1
1246	1
1252	2
1256	1
1257	1
1259	2
1264	1
1265	1
1275	1
1285	1
1286	1
1293	1
1294	1
1297	1
1317	1
1318	1
1326	1
1327	1
1328	1
1329	1
1348	2
1349	1
1351	1
1361	1
1365	1
1369	3
1395	1
1414	2
1423	1
1439	1
1442	1
1443	1
1448	1
1452	2
1456	1
1467	1
1469	1
1470	1
1473	1
1475	1
1477	1
1481	1
1486	1
1498	1
1500	1
1509	2
1512	2
1515	1
1519	1
1528	1
1540	1
1543	1
1545	2
1547	1
1548	1
1549	1
1550	1
1553	1
1556	1
1564	1
1572	1
1573	1
1575	1
1584	2
1586	1
1589	1
1597	1
1599	1
1600	1
1603	1
1604	1
1608	1
1610	1
1611	1
1618	1
1628	1
1642	1
1646	1
1648	1
1654	1
1658	1
1660	1
1663	1
1669	1
1670	1
1672	2
1673	1
1676	1
1677	2
1678	1
1682	1
1690	1
1691	1
1695	1
1709	1
1716	1
1718	1
1719	1
1724	1
1727	1
1728	2
1729	1
1760	1
1761	1
1763	1
1771	1
1772	2
1774	2
1783	1
1786	2
1798	1
1805	1
1813	1
1818	1
1823	1
1825	1
1828	1
1832	1
1833	1
1835	1
1839	1
1845	1
1848	2
1854	1
1859	2
1861	1
1869	1
1870	1
1876	2
1877	2
1882	2
1883	2
1885	1
1889	1
1910	1
1916	1
1919	1
1921	1
1922	2
1925	1
1926	1
1928	1
1933	1
1941	1
1944	1
1947	1
1954	1
1958	1
1959	1
1961	1
1968	1
1971	1
1972	1
1978	1
1982	1
1983	1
1985	2
1986	1
1987	3
1994	1
1998	1
2002	1
2007	1
2021	1
2031	1
2051	1
2061	1
2067	1
2068	1
2069	1
2070	1
2076	2
2077	2
2083	1
2088	1
2092	1
2102	1
2113	1
2127	2
2132	1
2134	1
2139	1
2141	1
2142	1
2146	1
2156	1
2157	1
2168	1
2169	1
2173	1
2186	1
2190	1
2194	1
2195	2
2196	1
2205	1
2207	1
2210	1
2219	2
2221	1
2235	1
2243	2
2261	1
2266	1
2268	1
2272	3
2274	1
2285	1
2302	1
2312	1
2314	1
2329	1
2331	1
2345	2
2351	1
2364	1
2370	2
2377	1
2379	2
2384	1
2389	1
2395	1
2397	1
2404	2
2405	1
2406	1
2412	1
2413	1
2416	2
2421	1
2427	1
2429	1
2432	1
2436	1
2437	1
2452	1
2454	1
2458	1
2473	1
2475	1
2476	1
2478	1
2485	1
2489	1
2494	1
2498	1
2505	1
2509	1
2512	1
2513	2
2515	1
2521	1
2523	1
2530	1
2533	3
2536	1
2537	1
2541	1
2544	2
2545	1
2548	1
2554	1
2556	2
2558	2
2560	1
2573	1
2582	1
2587	1
2593	1
2598	1
2599	1
2622	1
2623	1
2635	1
2638	2
2641	1
2651	1
2656	1
2661	1
2662	2
2668	1
2672	1
2675	1
2676	1
2681	1
2692	1
2693	1
2695	1
2697	1
2699	1
2703	1
2704	1
2705	1
2706	1
2714	1
2724	2
2732	1
2734	1
2744	2
2751	2
2754	1
2765	1
2783	1
2795	1
2797	1
2800	1
2808	1
2810	1
2811	1
2812	2
2814	1
2825	1
2830	2
2835	2
2843	1
2853	1
2855	2
2862	1
2864	1
2884	1
2887	1
2890	1
2891	1
2892	2
2893	1
2899	1
2917	1
2918	1
2919	1
2921	1
2931	2
2933	1
2938	1
2941	1
2942	1
2944	1
2945	1
2949	1
2953	1
2955	1
2956	1
2961	1
2968	1
2972	1
2980	1
2982	2
2997	1
2999	1
3000	1
3011	1
3013	1
3022	1
3025	1
3032	1
3040	2
3048	1
3055	1
3060	1
3064	1
3076	1
3079	1
3080	1
3082	1
3083	1
3087	1
3094	1
3095	1
3096	1
3100	1
3105	1
3113	1
3114	2
3121	1
3126	1
3130	1
3134	1
3145	1
3150	1
3157	1
3162	1
3170	1
3171	1
3175	1
3178	1
3180	1
3197	1
3209	1
3211	1
3212	1
3218	1
3238	1
3239	1
3255	1
3263	1
3275	1
3281	1
3287	2
3296	1
3302	1
3310	1
3311	1
3348	1
3360	1
3384	1
3390	1
3397	1
3404	1
3408	1
3414	1
3440	1
3442	1
3445	1
3458	1
3463	1
3471	1
3475	1
3482	1
3483	1
3488	1
3491	1
3495	1
3500	1
3501	1
3506	1
3516	1
3530	1
3531	2
3541	2
3542	1
3544	1
3545	1
3561	1
3563	1
3575	1
3595	1
3597	1
3600	1
3606	1
3612	1
3613	1
3616	1
3629	1
3631	1
3644	1
3649	1
3696	1
3697	1
3712	1
3713	1
3723	1
3725	1
3734	1
3752	1
3761	1
3764	1
3771	1
3776	1
3786	1
3797	1
3798	1
3822	1
3824	1
3826	1
3843	1
3860	1
3878	1
3892	1
3896	1
3904	1
3907	1
3927	1
3947	1
3950	1
3973	1
4030	1
4036	1
4037	2
4050	1
4067	1
4072	1
4074	1
4091	1
4118	1
4122	1
4129	1
4131	1
4133	1
4138	1
4146	1
4149	1
4152	1
4157	1
4174	1
4179	1
4181	1
4193	1
4196	1
4231	1
4235	1
4241	2
4244	1
4267	1
4282	1
4298	1
4308	1
4311	1
4317	1
4332	1
4333	1
4379	1
4391	1
4464	1
4478	1
4509	1
4515	1
4557	1
4571	1
4573	2
4579	1
4589	1
4622	1
4633	1
4671	1
4693	1
4699	1
4717	1
4718	1
4748	1
4817	1
4853	1
4864	1
4887	1
4890	1
4913	1
4967	1
4974	1
5013	1
5015	1
5130	1
5167	1
5179	1
5218	1
5240	1
5241	1
5324	1
5435	1
5593	1
Size	Count
2	155830
3	1587
4	48
5	3
6	1
