Distance,Dups,ComplementaryDups,NoncomplementaryDups
1,110,0,110
2,132,0,132
3,1250,0,1250
4,3759,0,3759
5,1937,0,1937
6,620,0,620
7,308,0,308
8,146,0,146
9,47,0,47
10,28,0,28
11,6,0,6
12,7,0,7
13,2,0,2
14,3,0,3
15,4,0,4
16,2,0,2
17,3,0,3
18,2,0,2
19,1,0,1
20,3,0,3
21,2,0,2
22,1,0,1
23,2,0,2
25,4,0,4
26,1,0,1
28,1,0,1
29,3,0,3
30,1,0,1
31,2,0,2
32,3,0,3
33,3,0,3
34,3,0,3
35,1,0,1
36,3,1,2
37,3,0,3
38,1,0,1
39,3,0,3
40,2,0,2
41,2,0,2
43,1,0,1
45,3,0,3
47,2,0,2
48,2,0,2
49,3,0,3
50,2,0,2
51,1,0,1
52,1,0,1
53,2,0,2
55,1,0,1
57,2,0,2
59,2,0,2
60,1,0,1
61,3,0,3
63,2,0,2
64,3,0,3
65,4,0,4
66,3,0,3
67,3,0,3
68,1,0,1
69,1,0,1
70,3,0,3
71,1,0,1
72,1,0,1
73,1,0,1
74,4,0,4
77,3,0,3
78,2,0,2
79,5,0,5
80,2,0,2
82,1,0,1
83,1,0,1
84,1,0,1
85,4,0,4
86,3,0,3
87,2,0,2
88,1,0,1
89,1,0,1
91,1,0,1
92,3,0,3
93,3,0,3
95,3,0,3
96,2,0,2
97,1,1,0
98,3,0,3
99,2,0,2
100,3,0,3
101,2,0,2
102,2,0,2
104,2,0,2
105,5,0,5
106,3,0,3
107,2,0,2
108,4,0,4
110,2,0,2
111,2,0,2
112,3,0,3
114,1,0,1
116,1,0,1
119,1,0,1
120,1,0,1
121,2,0,2
122,2,0,2
124,1,0,1
125,1,0,1
126,1,0,1
127,2,0,2
128,1,0,1
130,1,0,1
131,1,0,1
132,2,0,2
133,3,0,3
136,1,0,1
137,3,0,3
139,1,0,1
141,1,0,1
142,1,0,1
143,1,0,1
144,1,0,1
146,2,0,2
147,1,0,1
148,1,0,1
150,1,0,1
152,1,0,1
153,3,0,3
156,1,0,1
157,2,0,2
159,3,0,3
160,2,0,2
168,1,0,1
170,1,0,1
171,1,0,1
172,1,0,1
174,2,0,2
175,2,0,2
178,1,0,1
179,2,0,2
180,1,0,1
183,2,0,2
186,2,0,2
187,2,0,2
188,2,0,2
191,1,0,1
192,1,0,1
194,1,0,1
195,3,1,2
203,2,0,2
204,1,0,1
205,1,0,1
207,1,0,1
208,1,0,1
209,2,0,2
210,1,0,1
217,1,0,1
225,1,0,1
227,1,0,1
230,1,0,1
231,1,0,1
234,2,0,2
236,1,0,1
238,2,0,2
240,1,0,1
244,2,0,2
248,1,0,1
251,1,0,1
253,1,0,1
254,2,0,2
255,1,0,1
257,1,0,1
258,1,0,1
260,1,0,1
262,1,0,1
264,1,0,1
274,1,0,1
276,1,0,1
281,1,0,1
284,1,0,1
285,1,0,1
287,1,0,1
288,1,0,1
297,1,0,1
305,1,0,1
307,1,0,1
310,1,0,1
313,1,0,1
314,1,0,1
315,1,0,1
323,2,0,2
324,1,0,1
325,1,0,1
327,1,0,1
328,1,0,1
329,2,1,1
339,1,0,1
340,1,0,1
341,1,1,0
347,1,0,1
350,1,0,1
355,1,0,1
357,1,0,1
360,2,0,2
366,1,0,1
375,1,0,1
381,2,0,2
384,1,0,1
397,1,0,1
399,1,1,0
402,1,1,0
410,1,0,1
426,1,0,1
428,1,0,1
458,1,1,0
524,1,1,0
540,1,0,1
541,1,1,0
544,1,1,0
552,1,0,1
553,1,1,0
558,1,0,1
562,2,1,1
565,1,1,0
578,1,0,1
604,1,1,0
610,1,0,1
616,1,1,0
617,1,0,1
632,1,1,0
645,2,1,1
659,1,0,1
672,1,1,0
679,1,1,0
689,1,1,0
693,1,1,0
700,1,1,0
704,1,0,1
706,1,0,1
707,1,1,0
708,1,1,0
709,1,1,0
713,1,1,0
716,1,1,0
718,1,1,0
719,1,1,0
723,1,1,0
736,1,1,0
746,1,1,0
751,1,1,0
756,1,0,1
759,1,1,0
767,1,1,0
769,1,1,0
771,1,1,0
781,1,1,0
785,1,1,0
800,2,2,0
815,1,1,0
818,1,1,0
820,1,1,0
839,1,0,1
841,1,1,0
868,1,1,0
870,1,0,1
873,1,1,0
889,1,1,0
908,1,1,0
913,1,1,0
916,1,0,1
917,1,1,0
928,1,1,0
968,1,1,0
981,1,0,1
992,1,1,0
994,1,1,0
998,1,1,0
1010,1,1,0
1012,1,1,0
1035,1,1,0
1040,1,1,0
1045,1,1,0
1059,1,0,1
1062,1,1,0
1071,1,1,0
1081,1,1,0
1086,1,1,0
1091,1,1,0
1119,2,2,0
1122,1,1,0
1123,1,0,1
1140,1,1,0
